# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.8
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl
XLabel=$p_{T,j_3}^{incl}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_3}^{incl}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/jet3_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	2.534201e-02	1.996710e-03	1.960990e-03
3.000000e+01	4.000000e+01	3.281370e-02	2.191810e-03	2.290790e-03
4.000000e+01	5.000000e+01	1.673656e-02	1.041320e-03	8.476700e-04
5.000000e+01	6.000000e+01	8.408662e-03	3.568010e-04	7.711500e-05
6.000000e+01	7.000000e+01	4.273503e-03	3.350750e-04	2.625450e-04
7.000000e+01	8.000000e+01	2.171055e-03	7.934100e-05	2.075560e-04
8.000000e+01	9.000000e+01	1.162251e-03	9.372900e-05	1.316560e-04
9.000000e+01	1.000000e+02	6.837903e-04	1.937610e-04	0.000000e+00
1.000000e+02	1.100000e+02	3.738448e-04	2.352080e-05	7.100160e-05
1.100000e+02	1.200000e+02	2.139527e-04	1.564340e-05	5.770890e-05
1.200000e+02	1.300000e+02	3.216074e-04	1.951231e-04	0.000000e+00
1.300000e+02	1.400000e+02	9.408306e-05	1.102983e-05	2.117094e-05
1.400000e+02	1.500000e+02	6.878386e-05	1.509724e-05	1.760678e-05
1.500000e+02	1.600000e+02	5.097372e-05	1.324614e-05	6.119060e-06
1.600000e+02	1.700000e+02	3.442186e-05	6.465990e-06	5.752890e-06
1.700000e+02	1.800000e+02	3.058444e-05	9.609260e-06	2.253810e-06
1.800000e+02	1.900000e+02	2.144518e-05	4.574180e-06	3.804750e-06
1.900000e+02	2.000000e+02	1.495101e-05	2.566840e-06	5.638830e-06
2.000000e+02	2.100000e+02	1.239838e-05	3.108553e-06	5.187180e-06
2.100000e+02	2.200000e+02	9.833666e-06	1.845037e-06	4.101954e-06
2.200000e+02	2.300000e+02	8.960149e-06	3.054280e-06	3.048411e-06
2.300000e+02	2.400000e+02	7.009729e-06	2.095089e-06	2.562249e-06
2.400000e+02	2.500000e+02	5.576680e-06	1.242794e-06	2.044735e-06
2.500000e+02	2.600000e+02	4.476119e-06	9.539020e-07	2.282644e-06
2.600000e+02	2.700000e+02	3.684890e-06	7.229910e-07	1.960626e-06
2.700000e+02	2.800000e+02	3.413025e-06	7.234430e-07	1.262321e-06
2.800000e+02	2.900000e+02	3.057575e-06	9.957790e-07	8.288610e-07
2.900000e+02	3.000000e+02	2.413300e-06	5.326780e-07	6.576470e-07
3.000000e+02	3.100000e+02	1.708392e-06	4.223200e-08	9.998030e-07
3.100000e+02	3.200000e+02	1.635420e-06	3.264940e-07	5.913060e-07
3.200000e+02	3.300000e+02	1.507624e-06	4.190980e-07	5.463150e-07
3.300000e+02	3.400000e+02	1.300315e-06	2.766990e-07	3.465800e-07
3.400000e+02	3.500000e+02	1.048108e-06	3.821242e-07	2.715590e-07
3.500000e+02	3.600000e+02	8.405296e-07	2.631444e-07	4.022574e-07
3.600000e+02	3.700000e+02	7.291851e-07	1.427308e-07	2.205205e-07
3.700000e+02	3.800000e+02	5.568715e-07	3.023680e-08	3.577952e-07
3.800000e+02	3.900000e+02	5.411516e-07	1.266861e-07	3.095081e-07
3.900000e+02	4.000000e+02	5.040347e-07	1.519847e-07	1.562212e-07
4.000000e+02	4.100000e+02	3.971007e-07	9.968450e-08	1.536207e-07
4.100000e+02	4.200000e+02	3.093632e-07	8.479160e-08	1.521169e-07
4.200000e+02	4.300000e+02	2.846020e-07	6.536860e-08	1.927317e-07
4.300000e+02	4.400000e+02	2.702837e-07	7.097840e-08	1.143020e-07
4.400000e+02	4.500000e+02	2.378186e-07	6.512510e-08	9.767510e-08
4.500000e+02	4.600000e+02	2.100456e-07	8.113630e-08	5.443870e-08
4.600000e+02	4.700000e+02	1.836928e-07	4.415570e-08	1.977630e-08
4.700000e+02	4.800000e+02	1.583652e-07	4.215730e-08	0.000000e+00
4.800000e+02	4.900000e+02	1.410364e-07	3.854140e-08	5.251550e-08
4.900000e+02	5.000000e+02	1.396867e-07	5.897391e-08	2.004900e-08
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.324540e-02	0.000000e+00	2.098030e-03
3.000000e+01	4.000000e+01	1.723110e-02	0.000000e+00	1.551990e-03
4.000000e+01	5.000000e+01	8.853347e-03	0.000000e+00	5.439410e-04
5.000000e+01	6.000000e+01	4.474588e-03	0.000000e+00	2.283370e-04
6.000000e+01	7.000000e+01	2.289987e-03	0.000000e+00	3.865260e-04
7.000000e+01	8.000000e+01	1.202220e-03	0.000000e+00	1.729100e-05
8.000000e+01	9.000000e+01	6.134485e-04	0.000000e+00	4.328440e-05
9.000000e+01	1.000000e+02	3.409891e-04	8.515600e-06	8.387300e-06
1.000000e+02	1.100000e+02	1.846213e-04	0.000000e+00	2.213480e-05
1.100000e+02	1.200000e+02	1.128727e-04	2.659000e-07	2.398700e-06
1.200000e+02	1.300000e+02	6.073813e-05	3.423560e-06	6.724040e-06
1.300000e+02	1.400000e+02	3.838678e-05	1.637620e-06	1.994500e-07
1.400000e+02	1.500000e+02	2.371785e-05	1.489290e-06	6.463990e-06
1.500000e+02	1.600000e+02	1.473772e-05	1.750430e-06	5.566200e-07
1.600000e+02	1.700000e+02	9.960785e-06	0.000000e+00	7.644250e-07
1.700000e+02	1.800000e+02	7.063510e-06	1.626993e-06	0.000000e+00
1.800000e+02	1.900000e+02	4.680030e-06	2.552550e-06	0.000000e+00
1.900000e+02	2.000000e+02	2.558275e-06	0.000000e+00	5.172810e-07
2.000000e+02	2.100000e+02	2.189393e-06	0.000000e+00	2.979300e-07
2.100000e+02	2.200000e+02	2.079912e-06	5.797220e-07	0.000000e+00
2.200000e+02	2.300000e+02	1.041703e-06	0.000000e+00	6.826950e-07
2.300000e+02	2.400000e+02	7.958646e-07	1.092230e-07	0.000000e+00
2.400000e+02	2.500000e+02	4.979285e-07	0.000000e+00	2.674528e-07
2.500000e+02	2.600000e+02	2.127608e-06	1.688840e-06	0.000000e+00
2.600000e+02	2.700000e+02	3.433746e-07	6.739360e-08	0.000000e+00
2.700000e+02	2.800000e+02	1.919174e-07	0.000000e+00	2.087510e-07
2.800000e+02	2.900000e+02	2.615913e-07	1.054789e-07	8.692910e-08
2.900000e+02	3.000000e+02	1.711936e-07	1.506560e-08	2.039040e-08
3.000000e+02	3.100000e+02	9.272212e-08	0.000000e+00	6.624118e-08
3.100000e+02	3.200000e+02	4.590054e-08	1.039254e-08	2.344537e-08
3.200000e+02	3.300000e+02	7.563002e-08	1.409555e-08	0.000000e+00
3.300000e+02	3.400000e+02	2.270076e-09	0.000000e+00	6.232403e-08
3.400000e+02	3.500000e+02	3.842506e-08	0.000000e+00	2.123708e-08
3.500000e+02	3.600000e+02	3.684097e-08	1.498176e-08	1.513472e-08
3.600000e+02	3.700000e+02	2.451329e-08	1.953013e-08	3.303480e-09
