# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_y
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_y
#RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_y
XLabel=$z_{j_3}^{\star}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  z_{j_3}^{\star}$ (fb)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/jet3_y
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_y
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet3_y
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.286382e-02	1.942250e-03	0.000000e+00
-4.600000e+00	-4.200000e+00	1.407688e-02	1.423128e-03	4.133600e-04
-4.200000e+00	-3.800000e+00	1.660597e-02	1.579902e-03	5.784150e-04
-3.800000e+00	-3.400000e+00	1.857622e-02	1.116603e-03	1.506345e-03
-3.400000e+00	-3.000000e+00	2.144173e-02	1.619737e-03	3.951322e-03
-3.000000e+00	-2.600000e+00	2.734548e-02	3.545800e-03	2.221600e-03
-2.600000e+00	-2.200000e+00	3.735155e-02	6.135375e-03	0.000000e+00
-2.200000e+00	-1.800000e+00	4.478805e-02	3.438625e-03	1.134425e-03
-1.800000e+00	-1.400000e+00	6.175382e-02	5.555725e-03	5.815800e-03
-1.400000e+00	-1.000000e+00	1.084214e-01	1.195895e-02	4.554275e-03
-1.000000e+00	-6.000000e-01	2.520040e-01	1.662817e-02	1.924050e-02
-6.000000e-01	-2.000000e-01	2.971905e-01	1.681075e-02	9.162000e-03
-2.000000e-01	2.000000e-01	2.105670e-01	1.879353e-02	1.280005e-02
2.000000e-01	6.000000e-01	2.979445e-01	1.214800e-02	2.189025e-02
6.000000e-01	1.000000e+00	2.499710e-01	1.678580e-02	2.122828e-02
1.000000e+00	1.400000e+00	1.067608e-01	4.431250e-03	4.429125e-03
1.400000e+00	1.800000e+00	6.069182e-02	5.381175e-03	4.353575e-03
1.800000e+00	2.200000e+00	4.249690e-02	3.132150e-03	4.762100e-03
2.200000e+00	2.600000e+00	3.378800e-02	6.145800e-03	2.471975e-03
2.600000e+00	3.000000e+00	2.532393e-02	1.536487e-03	2.483325e-03
3.000000e+00	3.400000e+00	2.185388e-02	8.394500e-04	2.403302e-03
3.400000e+00	3.800000e+00	1.980309e-02	2.301735e-03	3.253625e-04
3.800000e+00	4.200000e+00	1.598796e-02	8.674525e-04	1.463473e-03
4.200000e+00	4.600000e+00	1.413352e-02	1.107975e-03	1.964435e-03
4.600000e+00	5.000000e+00	1.224359e-02	9.557400e-04	6.891625e-04
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_y
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet3_y
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	5.840265e-03	0.000000e+00	3.373425e-04
-4.600000e+00	-4.200000e+00	6.366763e-03	0.000000e+00	5.586300e-04
-4.200000e+00	-3.800000e+00	7.060455e-03	0.000000e+00	6.295300e-04
-3.800000e+00	-3.400000e+00	7.972895e-03	0.000000e+00	5.792075e-04
-3.400000e+00	-3.000000e+00	8.731635e-03	0.000000e+00	8.471300e-04
-3.000000e+00	-2.600000e+00	9.921890e-03	0.000000e+00	1.095382e-03
-2.600000e+00	-2.200000e+00	1.185770e-02	0.000000e+00	9.191650e-04
-2.200000e+00	-1.800000e+00	1.451985e-02	0.000000e+00	1.652355e-03
-1.800000e+00	-1.400000e+00	2.118494e-02	0.000000e+00	3.062615e-03
-1.400000e+00	-1.000000e+00	4.915988e-02	0.000000e+00	4.978000e-03
-1.000000e+00	-6.000000e-01	1.645997e-01	0.000000e+00	2.507340e-02
-6.000000e-01	-2.000000e-01	1.845462e-01	0.000000e+00	1.546825e-02
-2.000000e-01	2.000000e-01	7.504653e-02	0.000000e+00	7.501675e-03
2.000000e-01	6.000000e-01	1.854307e-01	0.000000e+00	1.573030e-02
6.000000e-01	1.000000e+00	1.656338e-01	0.000000e+00	1.588843e-02
1.000000e+00	1.400000e+00	4.951998e-02	0.000000e+00	5.066075e-03
1.400000e+00	1.800000e+00	2.192627e-02	0.000000e+00	3.088800e-03
1.800000e+00	2.200000e+00	1.435937e-02	0.000000e+00	1.969250e-03
2.200000e+00	2.600000e+00	1.135314e-02	0.000000e+00	1.390138e-03
2.600000e+00	3.000000e+00	1.032982e-02	0.000000e+00	5.758100e-04
