# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/log10_R_3
Title=$\log_{10}$(Integrated $3$ jet rate in $k_\perp$ [GeV])
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/log10_R_3
RightMargin=0.5
#RatioPlot=1
LogY=1
RatioPlotYMax=1.6
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/log10_R_3
RatioPlotYLabel=Ratio
Scale=1000.0
XLabel=$\log_{10}(d_{\text{cut}}/\text{GeV})$
LegendAlign=r
YLabel=$R_{3}$
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/log10_R_3
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/log10_R_3
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/log10_R_3
RatioPlotSameStyle=1
Title=h(2*,3*,4)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.722582e-01	9.183184e-01	6.022010e-02	3.771380e-02
2.722583e-01	3.445165e-01	8.707453e-01	6.270620e-02	3.373580e-02
3.445166e-01	4.167748e-01	7.977218e-01	5.066230e-02	3.122160e-02
4.167748e-01	4.890330e-01	7.161966e-01	3.850550e-02	2.440400e-02
4.890331e-01	5.612913e-01	6.357896e-01	2.374760e-02	1.433610e-02
5.612914e-01	6.335496e-01	5.531378e-01	9.341600e-03	4.254300e-03
6.335496e-01	7.058078e-01	4.713538e-01	7.418300e-03	1.805400e-03
7.058079e-01	7.780661e-01	3.906404e-01	1.058350e-02	1.440040e-02
7.780662e-01	8.503244e-01	3.171751e-01	1.260680e-02	1.689180e-02
8.503244e-01	9.225826e-01	2.502140e-01	1.456120e-02	1.791500e-02
9.225827e-01	9.948409e-01	1.918327e-01	1.501920e-02	1.742110e-02
9.948409e-01	1.067099e+00	1.435930e-01	1.293200e-02	1.596180e-02
1.067099e+00	1.139357e+00	1.059104e-01	1.046212e-02	1.277220e-02
1.139358e+00	1.211616e+00	7.630942e-02	7.996380e-03	1.090624e-02
1.211616e+00	1.283874e+00	5.485706e-02	5.949710e-03	8.487390e-03
1.283874e+00	1.356132e+00	3.888359e-02	4.455900e-03	6.722920e-03
1.356132e+00	1.428390e+00	2.737497e-02	2.909840e-03	5.255770e-03
1.428391e+00	1.500649e+00	1.963866e-02	2.547470e-03	3.678000e-03
1.500649e+00	1.572907e+00	1.383094e-02	1.643660e-03	2.815750e-03
1.572907e+00	1.645165e+00	9.972425e-03	1.315802e-03	2.014925e-03
1.645165e+00	1.717423e+00	7.010020e-03	9.110390e-04	1.625549e-03
1.717424e+00	1.789682e+00	5.178599e-03	7.889910e-04	8.763270e-04
1.789682e+00	1.861940e+00	3.728916e-03	6.663420e-04	5.911460e-04
1.861940e+00	1.934198e+00	2.680256e-03	4.948200e-04	4.102800e-04
1.934199e+00	2.006457e+00	1.959079e-03	4.223750e-04	2.272290e-04
2.006457e+00	2.078715e+00	1.423668e-03	3.118880e-04	1.856050e-04
2.078715e+00	2.150973e+00	1.038047e-03	2.344128e-04	1.239160e-04
2.150973e+00	2.223231e+00	8.013269e-04	2.154074e-04	3.361270e-05
2.223232e+00	2.295490e+00	6.245527e-04	2.136018e-04	0.000000e+00
2.295490e+00	2.367748e+00	3.578616e-04	6.578860e-05	7.321510e-05
2.367748e+00	2.440006e+00	2.585703e-04	6.644210e-05	5.780880e-05
2.440006e+00	2.512264e+00	1.860330e-04	5.586830e-05	4.493820e-05
2.512265e+00	2.584523e+00	1.367096e-04	4.690098e-05	3.680600e-05
2.584523e+00	2.656781e+00	9.816761e-05	3.523100e-05	1.563779e-05
2.656781e+00	2.729039e+00	7.441425e-05	1.955376e-05	1.117634e-05
2.729039e+00	2.801297e+00	5.533354e-05	1.234419e-05	6.016300e-06
2.801298e+00	2.873556e+00	4.025632e-05	6.645450e-06	0.000000e+00
2.873556e+00	2.945814e+00	2.955596e-05	6.386980e-06	4.459200e-07
2.945814e+00	3.018072e+00	2.162295e-05	5.440390e-06	0.000000e+00
3.018073e+00	3.090331e+00	1.326879e-05	1.544010e-06	1.332640e-06
3.090331e+00	3.162589e+00	9.903222e-06	1.181876e-06	9.282580e-07
3.162589e+00	3.234847e+00	6.930083e-06	6.267140e-07	1.030123e-06
3.234847e+00	3.307105e+00	4.935091e-06	3.099720e-07	1.402199e-06
3.307106e+00	3.379364e+00	3.257531e-06	1.712530e-07	8.625130e-07
3.379364e+00	3.451622e+00	2.364395e-06	3.462010e-07	7.674970e-07
3.451622e+00	3.523880e+00	1.503998e-06	6.540400e-08	4.380020e-07
3.523880e+00	3.596138e+00	1.066738e-06	1.841702e-07	2.657020e-07
3.596139e+00	3.668397e+00	8.332203e-07	1.738880e-07	3.232817e-07
3.668397e+00	3.740655e+00	7.157799e-07	2.196201e-07	2.236521e-07
3.740655e+00	3.812913e+00	3.260542e-07	0.000000e+00	4.194018e-07
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/log10_R_3
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/log10_R_3
RatioPlotSameStyle=1
