# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/HT_all
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_all
#RatioPlot=1
LogY=1
RatioPlotYMax=1.2
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/HT_all
XLabel=$H_{T}(\text{all})$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$ \text{d} \sigma/ \text{d}  H_{T}(\text{all})$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.8
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/HT_all
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_all
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_all
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	8.000000e+01	1.463899e-04	9.937275e-06	2.695025e-06
8.000000e+01	1.200000e+02	1.701611e-03	3.631600e-05	5.401375e-05
1.200000e+02	1.600000e+02	4.381670e-03	1.186525e-04	1.065325e-04
1.600000e+02	2.000000e+02	6.578675e-03	1.631000e-04	1.387775e-04
2.000000e+02	2.400000e+02	7.813800e-03	1.462750e-04	1.623125e-04
2.400000e+02	2.800000e+02	7.465905e-03	1.450225e-04	1.002400e-04
2.800000e+02	3.200000e+02	6.318965e-03	1.562100e-04	0.000000e+00
3.200000e+02	3.600000e+02	4.829563e-03	4.454500e-05	2.063250e-05
3.600000e+02	4.000000e+02	3.559927e-03	1.652500e-06	4.175000e-07
4.000000e+02	4.400000e+02	2.616263e-03	2.226000e-05	1.694250e-05
4.400000e+02	4.800000e+02	1.868460e-03	8.514750e-06	3.356200e-05
4.800000e+02	5.200000e+02	1.353027e-03	8.656000e-06	5.424175e-05
5.200000e+02	5.600000e+02	1.002838e-03	3.607075e-05	0.000000e+00
5.600000e+02	6.000000e+02	7.334438e-04	3.631875e-05	3.365375e-05
6.000000e+02	6.400000e+02	5.415710e-04	1.326450e-05	0.000000e+00
6.400000e+02	6.800000e+02	4.043403e-04	1.256600e-05	1.201975e-05
6.800000e+02	7.200000e+02	2.937760e-04	1.225000e-07	8.065500e-06
7.200000e+02	7.600000e+02	2.282755e-04	2.517215e-05	0.000000e+00
7.600000e+02	8.000000e+02	1.752259e-04	1.136450e-05	0.000000e+00
8.000000e+02	8.400000e+02	1.381111e-04	7.114200e-06	2.017360e-05
8.400000e+02	8.800000e+02	1.022432e-04	0.000000e+00	3.121550e-06
8.800000e+02	9.200000e+02	1.240645e-04	4.533488e-05	0.000000e+00
9.200000e+02	9.600000e+02	5.768617e-05	0.000000e+00	1.076063e-05
9.600000e+02	1.000000e+03	5.059523e-05	3.250600e-06	0.000000e+00
1.000000e+03	1.040000e+03	4.426738e-05	5.698850e-06	0.000000e+00
1.040000e+03	1.080000e+03	2.926870e-05	8.959250e-07	9.597975e-06
1.080000e+03	1.120000e+03	2.436303e-05	8.425005e-05	0.000000e+00
1.120000e+03	1.160000e+03	1.969977e-05	5.949175e-07	1.280097e-06
1.160000e+03	1.200000e+03	1.695547e-05	2.368000e-06	0.000000e+00
1.200000e+03	1.240000e+03	1.441128e-05	1.264572e-06	1.538887e-06
1.240000e+03	1.280000e+03	1.103315e-05	1.636363e-06	0.000000e+00
1.280000e+03	1.320000e+03	7.063195e-06	0.000000e+00	2.385998e-06
1.320000e+03	1.360000e+03	8.280875e-06	1.330760e-06	0.000000e+00
1.360000e+03	1.400000e+03	2.354068e-06	0.000000e+00	6.787967e-06
1.400000e+03	1.440000e+03	6.650540e-06	2.081765e-06	2.326325e-07
1.440000e+03	1.480000e+03	4.338667e-06	5.335375e-07	6.088050e-07
1.480000e+03	1.520000e+03	2.733855e-06	0.000000e+00	1.188745e-06
1.520000e+03	1.560000e+03	2.366533e-06	0.000000e+00	1.997819e-06
1.560000e+03	1.600000e+03	2.782885e-06	3.122410e-07	7.899050e-07
1.600000e+03	1.640000e+03	1.666715e-06	0.000000e+00	9.936073e-07
1.640000e+03	1.680000e+03	2.609442e-06	6.874843e-07	9.320400e-07
1.680000e+03	1.720000e+03	1.855060e-06	5.693775e-06	1.597426e-06
1.720000e+03	1.760000e+03	1.312726e-06	0.000000e+00	1.238936e-05
1.760000e+03	1.800000e+03	1.183375e-06	0.000000e+00	6.373327e-07
1.800000e+03	1.840000e+03	9.250360e-07	5.861600e-08	3.467543e-07
1.840000e+03	1.880000e+03	1.160310e-06	3.851650e-07	1.299335e-07
1.880000e+03	1.920000e+03	8.371000e-07	1.627950e-07	1.692025e-07
1.920000e+03	1.960000e+03	5.974460e-07	6.203875e-08	4.167428e-07
1.960000e+03	2.000000e+03	4.333893e-06	3.736845e-06	0.000000e+00
2.000000e+03	2.040000e+03	3.879275e-07	0.000000e+00	2.463170e-07
2.040000e+03	2.080000e+03	5.775597e-07	2.629500e-09	5.044050e-08
2.080000e+03	2.120000e+03	4.672487e-07	1.232025e-06	0.000000e+00
2.120000e+03	2.160000e+03	3.288962e-07	0.000000e+00	5.084265e-07
2.160000e+03	2.200000e+03	4.310720e-07	7.143825e-08	1.788258e-07
2.200000e+03	2.240000e+03	1.667970e-07	0.000000e+00	1.043410e-07
