# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl
XLabel=$p_{T,>Njets}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,>Njets}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/H_j_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	4.098999e-02	2.065710e-03	1.726660e-03
3.000000e+01	4.000000e+01	7.452617e-02	1.790580e-03	1.554860e-03
4.000000e+01	5.000000e+01	6.530298e-02	3.335200e-04	3.067900e-04
5.000000e+01	6.000000e+01	5.582294e-02	7.848600e-04	1.517500e-04
6.000000e+01	7.000000e+01	4.659545e-02	4.114800e-04	2.964500e-04
7.000000e+01	8.000000e+01	3.811849e-02	2.635600e-04	1.956900e-04
8.000000e+01	9.000000e+01	3.068781e-02	7.133100e-04	2.646700e-04
9.000000e+01	1.000000e+02	2.464099e-02	3.862700e-04	0.000000e+00
1.000000e+02	1.100000e+02	1.964202e-02	4.223500e-04	1.073800e-04
1.100000e+02	1.200000e+02	1.562816e-02	4.452100e-04	2.230000e-05
1.200000e+02	1.300000e+02	1.253229e-02	1.600600e-04	5.025000e-05
1.300000e+02	1.400000e+02	9.887702e-03	0.000000e+00	2.562080e-04
1.400000e+02	1.500000e+02	8.188390e-03	3.335870e-04	0.000000e+00
1.500000e+02	1.600000e+02	6.342290e-03	4.531000e-06	9.492300e-05
1.600000e+02	1.700000e+02	5.153295e-03	1.418800e-05	0.000000e+00
1.700000e+02	1.800000e+02	4.213431e-03	1.763260e-04	0.000000e+00
1.800000e+02	1.900000e+02	3.572872e-03	1.534270e-04	0.000000e+00
1.900000e+02	2.000000e+02	2.742406e-03	0.000000e+00	5.481100e-05
2.000000e+02	2.100000e+02	2.330751e-03	3.116800e-05	0.000000e+00
2.100000e+02	2.200000e+02	1.943602e-03	2.729800e-05	0.000000e+00
2.200000e+02	2.300000e+02	1.645401e-03	6.339900e-05	2.271900e-05
2.300000e+02	2.400000e+02	1.445248e-03	7.421800e-05	2.598100e-05
2.400000e+02	2.500000e+02	1.186283e-03	6.593900e-05	2.418000e-06
2.500000e+02	2.600000e+02	1.013646e-03	4.022910e-05	3.720400e-05
2.600000e+02	2.700000e+02	8.384698e-04	0.000000e+00	6.700050e-05
2.700000e+02	2.800000e+02	7.521970e-04	5.166440e-05	2.321000e-06
2.800000e+02	2.900000e+02	6.246673e-04	5.135300e-06	1.893070e-05
2.900000e+02	3.000000e+02	5.613513e-04	2.796580e-05	0.000000e+00
3.000000e+02	3.100000e+02	4.643952e-04	4.618190e-05	9.024900e-06
3.100000e+02	3.200000e+02	3.842655e-04	0.000000e+00	3.330470e-05
3.200000e+02	3.300000e+02	3.731429e-04	4.786680e-05	0.000000e+00
3.300000e+02	3.400000e+02	3.171113e-04	2.148440e-05	0.000000e+00
3.400000e+02	3.500000e+02	2.581649e-04	0.000000e+00	1.709810e-05
3.500000e+02	3.600000e+02	2.351421e-04	0.000000e+00	3.261280e-05
3.600000e+02	3.700000e+02	2.021228e-04	8.949900e-06	4.314950e-05
3.700000e+02	3.800000e+02	1.720060e-04	3.252700e-06	1.063660e-05
3.800000e+02	3.900000e+02	1.691023e-04	1.736030e-05	0.000000e+00
3.900000e+02	4.000000e+02	1.519618e-04	8.831700e-06	0.000000e+00
4.000000e+02	4.100000e+02	1.156043e-04	0.000000e+00	2.547440e-05
4.100000e+02	4.200000e+02	1.083872e-04	0.000000e+00	1.078500e-05
4.200000e+02	4.300000e+02	8.768782e-05	0.000000e+00	7.611690e-06
4.300000e+02	4.400000e+02	8.977694e-05	7.518570e-06	8.031990e-06
4.400000e+02	4.500000e+02	6.625304e-05	0.000000e+00	8.857620e-06
4.500000e+02	4.600000e+02	7.051458e-05	3.596629e-04	0.000000e+00
4.600000e+02	4.700000e+02	6.507044e-05	7.501290e-06	1.074195e-05
4.700000e+02	4.800000e+02	4.900251e-05	0.000000e+00	7.591060e-06
4.800000e+02	4.900000e+02	4.398986e-05	9.694100e-07	0.000000e+00
4.900000e+02	5.000000e+02	4.477369e-05	2.645200e-06	3.807000e-08
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_j_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	3.555124e-02	0.000000e+00	1.771920e-03
3.000000e+01	4.000000e+01	6.706276e-02	0.000000e+00	4.628600e-04
4.000000e+01	5.000000e+01	6.043355e-02	1.389530e-03	0.000000e+00
5.000000e+01	6.000000e+01	5.244183e-02	2.027570e-03	0.000000e+00
6.000000e+01	7.000000e+01	4.398308e-02	1.004800e-03	0.000000e+00
7.000000e+01	8.000000e+01	3.610154e-02	1.797080e-03	0.000000e+00
8.000000e+01	9.000000e+01	2.901258e-02	1.360010e-03	0.000000e+00
9.000000e+01	1.000000e+02	2.311768e-02	1.142600e-03	0.000000e+00
1.000000e+02	1.100000e+02	1.847952e-02	9.792200e-04	0.000000e+00
1.100000e+02	1.200000e+02	1.465547e-02	7.915300e-04	0.000000e+00
1.200000e+02	1.300000e+02	1.163625e-02	5.019500e-04	0.000000e+00
1.300000e+02	1.400000e+02	9.323850e-03	5.802180e-04	0.000000e+00
1.400000e+02	1.500000e+02	7.412390e-03	3.485570e-04	0.000000e+00
1.500000e+02	1.600000e+02	5.974722e-03	3.877700e-04	0.000000e+00
1.600000e+02	1.700000e+02	4.766669e-03	2.333340e-04	0.000000e+00
1.700000e+02	1.800000e+02	3.893820e-03	2.118630e-04	0.000000e+00
1.800000e+02	1.900000e+02	3.158232e-03	1.491090e-04	0.000000e+00
1.900000e+02	2.000000e+02	2.577004e-03	1.335290e-04	0.000000e+00
2.000000e+02	2.100000e+02	2.124824e-03	1.175090e-04	0.000000e+00
2.100000e+02	2.200000e+02	1.731819e-03	6.483300e-05	9.987000e-06
2.200000e+02	2.300000e+02	1.448105e-03	5.909600e-05	0.000000e+00
2.300000e+02	2.400000e+02	1.196593e-03	3.399600e-05	0.000000e+00
2.400000e+02	2.500000e+02	1.009537e-03	5.263380e-05	0.000000e+00
2.500000e+02	2.600000e+02	8.430469e-04	2.003640e-05	0.000000e+00
2.600000e+02	2.700000e+02	7.109233e-04	4.443310e-05	0.000000e+00
2.700000e+02	2.800000e+02	5.996466e-04	2.372170e-05	2.039100e-06
2.800000e+02	2.900000e+02	5.106658e-04	2.235290e-05	2.455800e-06
2.900000e+02	3.000000e+02	4.208808e-04	2.648710e-05	0.000000e+00
3.000000e+02	3.100000e+02	3.610796e-04	5.527000e-07	4.076960e-05
3.100000e+02	3.200000e+02	3.168972e-04	1.431450e-05	0.000000e+00
3.200000e+02	3.300000e+02	2.625753e-04	2.115120e-05	0.000000e+00
3.300000e+02	3.400000e+02	2.794276e-04	5.720740e-05	0.000000e+00
3.400000e+02	3.500000e+02	1.972444e-04	5.192700e-06	2.479240e-05
3.500000e+02	3.600000e+02	1.672123e-04	0.000000e+00	4.666400e-06
