# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_y
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_y
#RatioPlot=1
LogY=1
RatioPlotYMax=2.5
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_y
XLabel=$y_{h}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{h}$ (fb)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/H_y
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_y
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_y
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.383178e-05	4.841207e-06	2.914302e-06
-4.600000e+00	-4.200000e+00	3.308595e-05	0.000000e+00	3.952908e-05
-4.200000e+00	-3.800000e+00	9.550837e-05	2.577227e-05	4.675550e-06
-3.800000e+00	-3.400000e+00	2.142932e-04	0.000000e+00	4.761583e-05
-3.400000e+00	-3.000000e+00	4.834748e-04	1.460773e-04	0.000000e+00
-3.000000e+00	-2.600000e+00	8.894348e-04	1.389325e-04	1.438632e-04
-2.600000e+00	-2.200000e+00	1.813052e-03	3.215217e-04	4.218065e-04
-2.200000e+00	-1.800000e+00	3.588312e-03	4.141850e-04	9.969525e-04
-1.800000e+00	-1.400000e+00	8.191202e-03	1.221768e-03	1.148655e-03
-1.400000e+00	-1.000000e+00	2.014801e-02	3.419870e-03	2.687705e-03
-1.000000e+00	-6.000000e-01	9.676405e-02	8.935125e-03	1.709400e-03
-6.000000e-01	-2.000000e-01	1.008476e+00	1.057400e-02	6.913500e-03
-2.000000e-01	2.000000e-01	2.992930e+00	6.644250e-02	4.225000e-02
2.000000e-01	6.000000e-01	1.010926e+00	2.079550e-02	6.828000e-03
6.000000e-01	1.000000e+00	9.067050e-02	0.000000e+00	5.939600e-03
1.000000e+00	1.400000e+00	2.092696e-02	3.102130e-03	2.230607e-03
1.400000e+00	1.800000e+00	7.877512e-03	9.836125e-04	1.239282e-03
1.800000e+00	2.200000e+00	3.337885e-03	9.715250e-05	8.792700e-04
2.200000e+00	2.600000e+00	1.394623e-03	0.000000e+00	7.910723e-04
2.600000e+00	3.000000e+00	8.841018e-04	1.401537e-04	6.177675e-05
3.000000e+00	3.400000e+00	4.219125e-04	8.064700e-05	1.803948e-04
3.400000e+00	3.800000e+00	1.981334e-04	5.118600e-05	7.918408e-05
3.800000e+00	4.200000e+00	8.427905e-05	1.697865e-05	2.530505e-05
4.200000e+00	4.600000e+00	3.711735e-05	1.780895e-05	0.000000e+00
4.600000e+00	5.000000e+00	1.003431e-05	1.772500e-09	1.347465e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_y
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/H_y
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.119724e-05	0.000000e+00	2.536210e-06
-4.600000e+00	-4.200000e+00	2.858825e-05	0.000000e+00	4.744325e-06
-4.200000e+00	-3.800000e+00	7.148837e-05	0.000000e+00	9.710550e-06
-3.800000e+00	-3.400000e+00	1.516754e-04	0.000000e+00	7.648873e-05
-3.400000e+00	-3.000000e+00	3.458658e-04	0.000000e+00	5.919350e-05
-3.000000e+00	-2.600000e+00	7.206283e-04	0.000000e+00	1.529618e-04
-2.600000e+00	-2.200000e+00	1.414274e-03	0.000000e+00	2.701458e-04
-2.200000e+00	-1.800000e+00	2.686360e-03	0.000000e+00	8.239925e-04
-1.800000e+00	-1.400000e+00	5.466065e-03	0.000000e+00	1.021560e-03
-1.400000e+00	-1.000000e+00	1.207677e-02	0.000000e+00	1.892305e-03
-1.000000e+00	-6.000000e-01	5.955950e-02	3.261750e-04	2.061000e-04
-6.000000e-01	-2.000000e-01	9.517803e-01	4.813950e-02	0.000000e+00
-2.000000e-01	2.000000e-01	2.978580e+00	1.297800e-01	0.000000e+00
2.000000e-01	6.000000e-01	9.496870e-01	4.189625e-02	0.000000e+00
6.000000e-01	1.000000e+00	6.103307e-02	1.845950e-03	0.000000e+00
1.000000e+00	1.400000e+00	1.180373e-02	0.000000e+00	1.921808e-03
1.400000e+00	1.800000e+00	5.201662e-03	0.000000e+00	1.583070e-03
1.800000e+00	2.200000e+00	2.554487e-03	0.000000e+00	9.058725e-04
2.200000e+00	2.600000e+00	1.328763e-03	0.000000e+00	3.866557e-04
2.600000e+00	3.000000e+00	6.829215e-04	0.000000e+00	3.570562e-04
