# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine
XLabel=$m_{j_1j_3j_4}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_3j_4}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/j1j3j4_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.000000e+01	-5.731383e-10	0.000000e+00	2.421919e-09
4.000000e+01	4.400000e+01	9.328220e-09	1.210070e-08	3.655310e-09
4.400000e+01	4.800000e+01	6.157342e-08	1.922830e-08	0.000000e+00
4.800000e+01	5.200000e+01	1.768232e-07	4.969308e-08	0.000000e+00
5.200000e+01	5.600000e+01	5.826358e-07	5.425675e-08	4.273250e-09
5.600000e+01	6.000000e+01	7.488337e-07	0.000000e+00	5.711245e-07
6.000000e+01	6.400000e+01	2.318096e-06	3.936828e-07	0.000000e+00
6.400000e+01	6.800000e+01	3.441245e-06	3.994250e-08	4.393775e-07
6.800000e+01	7.200000e+01	4.708982e-06	1.838095e-06	0.000000e+00
7.200000e+01	7.600000e+01	7.641525e-06	7.817875e-07	0.000000e+00
7.600000e+01	8.000000e+01	1.115585e-05	0.000000e+00	1.259783e-06
8.000000e+01	8.400000e+01	1.871863e-05	2.617500e-06	1.315800e-07
8.400000e+01	8.800000e+01	2.034437e-05	7.458415e-06	0.000000e+00
8.800000e+01	9.200000e+01	2.856327e-05	3.722648e-06	0.000000e+00
9.200000e+01	9.600000e+01	3.159778e-05	1.325675e-06	6.043525e-06
9.600000e+01	1.000000e+02	3.730933e-05	0.000000e+00	4.011225e-06
1.000000e+02	1.040000e+02	3.359658e-05	0.000000e+00	1.787630e-05
1.040000e+02	1.080000e+02	4.420137e-05	2.907850e-06	2.719930e-05
1.080000e+02	1.120000e+02	5.903867e-05	0.000000e+00	3.785925e-06
1.120000e+02	1.160000e+02	6.933190e-05	1.256883e-05	3.690925e-06
1.160000e+02	1.200000e+02	1.085792e-04	4.094063e-05	2.620335e-05
1.200000e+02	1.240000e+02	8.994830e-05	1.031315e-05	5.512025e-06
1.240000e+02	1.280000e+02	9.227587e-05	0.000000e+00	1.978995e-05
1.280000e+02	1.320000e+02	1.269026e-04	3.550728e-05	1.803425e-05
1.320000e+02	1.360000e+02	1.280158e-04	3.624537e-05	1.885333e-05
1.360000e+02	1.400000e+02	1.415646e-04	2.557132e-05	2.912258e-05
1.400000e+02	1.440000e+02	1.377273e-04	2.598125e-06	5.119947e-05
1.440000e+02	1.480000e+02	1.295657e-04	0.000000e+00	5.019967e-05
1.480000e+02	1.520000e+02	2.027252e-05	0.000000e+00	1.938851e-04
1.520000e+02	1.560000e+02	1.812870e-04	1.334418e-05	0.000000e+00
1.560000e+02	1.600000e+02	1.738629e-04	2.848817e-05	5.564048e-05
1.600000e+02	1.640000e+02	1.963449e-04	4.094153e-05	8.579890e-05
1.640000e+02	1.680000e+02	2.085429e-04	4.713875e-05	2.311812e-05
1.680000e+02	1.720000e+02	1.914628e-04	1.411857e-05	6.382345e-05
1.720000e+02	1.760000e+02	1.552933e-04	0.000000e+00	1.021319e-04
1.760000e+02	1.800000e+02	2.037596e-04	0.000000e+00	4.894113e-05
1.800000e+02	1.840000e+02	2.009843e-04	1.810925e-05	6.141995e-05
1.840000e+02	1.880000e+02	2.183196e-04	5.001820e-05	3.001477e-05
1.880000e+02	1.920000e+02	2.409196e-04	6.002673e-05	6.429965e-05
1.920000e+02	1.960000e+02	2.540825e-04	6.884785e-05	6.475000e-07
1.960000e+02	2.000000e+02	2.050548e-04	3.546262e-05	5.583717e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/j1j3j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.000000e+01	1.463434e-09	4.932335e-10	0.000000e+00
4.000000e+01	4.400000e+01	1.346089e-08	1.141635e-08	1.486345e-09
4.400000e+01	4.800000e+01	5.689325e-08	1.819335e-08	9.095450e-09
4.800000e+01	5.200000e+01	2.016546e-07	5.715312e-08	0.000000e+00
5.200000e+01	5.600000e+01	4.554740e-07	0.000000e+00	1.186827e-07
5.600000e+01	6.000000e+01	1.083015e-06	2.436173e-07	0.000000e+00
6.000000e+01	6.400000e+01	2.101421e-06	4.665832e-07	0.000000e+00
6.400000e+01	6.800000e+01	3.053905e-06	3.322400e-07	1.157575e-07
6.800000e+01	7.200000e+01	4.861460e-06	1.291142e-06	1.446700e-07
7.200000e+01	7.600000e+01	6.775788e-06	8.217725e-07	7.366200e-07
7.600000e+01	8.000000e+01	9.501620e-06	6.607750e-08	8.235000e-08
8.000000e+01	8.400000e+01	1.181377e-05	0.000000e+00	2.132542e-06
8.400000e+01	8.800000e+01	1.336085e-05	0.000000e+00	4.901605e-06
8.800000e+01	9.200000e+01	1.657605e-05	0.000000e+00	2.035845e-06
