# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
XLabel=$x_{j_3}^{\star}$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} x_{j_3}^{\star}$ (fb)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/jet3_x
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.981705e-03	2.329600e-04	0.000000e+00
-4.600000e+00	-4.200000e+00	3.970098e-03	6.094400e-04	1.161795e-03
-4.200000e+00	-3.800000e+00	5.817717e-03	1.297917e-03	5.569650e-04
-3.800000e+00	-3.400000e+00	9.511883e-03	1.414700e-03	4.972675e-04
-3.400000e+00	-3.000000e+00	1.383602e-02	0.000000e+00	8.945775e-04
-3.000000e+00	-2.600000e+00	2.097484e-02	3.169700e-03	5.032375e-04
-2.600000e+00	-2.200000e+00	3.536958e-02	7.753050e-03	0.000000e+00
-2.200000e+00	-1.800000e+00	4.702165e-02	4.663800e-03	3.274625e-03
-1.800000e+00	-1.400000e+00	7.099852e-02	1.780850e-03	5.556975e-03
-1.400000e+00	-1.000000e+00	1.062764e-01	6.860700e-03	1.247267e-02
-1.000000e+00	-6.000000e-01	1.572367e-01	1.032682e-02	1.201538e-02
-6.000000e-01	-2.000000e-01	1.394583e-01	8.296575e-03	1.077677e-02
-2.000000e-01	2.000000e-01	1.318588e-01	7.928225e-03	0.000000e+00
2.000000e-01	6.000000e-01	1.297878e-01	7.643075e-03	6.756525e-03
6.000000e-01	1.000000e+00	1.216927e-01	9.284425e-03	1.069870e-02
1.000000e+00	1.400000e+00	6.957385e-02	3.596525e-03	4.184125e-03
1.400000e+00	1.800000e+00	3.850370e-02	6.537100e-03	0.000000e+00
1.800000e+00	2.200000e+00	1.549286e-02	3.309350e-04	1.075802e-03
2.200000e+00	2.600000e+00	6.490338e-03	3.459050e-04	7.711225e-04
2.600000e+00	3.000000e+00	2.456508e-03	2.012165e-04	2.851550e-04
3.000000e+00	3.400000e+00	9.392668e-04	2.717605e-04	0.000000e+00
3.400000e+00	3.800000e+00	1.852176e-04	1.228554e-04	0.000000e+00
3.800000e+00	4.200000e+00	2.672637e-05	8.757770e-06	0.000000e+00
4.200000e+00	4.600000e+00	5.898818e-07	1.776563e-07	7.584828e-07
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.543850e-03	0.000000e+00	4.078400e-04
-4.600000e+00	-4.200000e+00	3.802158e-03	0.000000e+00	3.603175e-04
-4.200000e+00	-3.800000e+00	5.286007e-03	0.000000e+00	6.661725e-04
-3.800000e+00	-3.400000e+00	7.335455e-03	0.000000e+00	1.469767e-03
-3.400000e+00	-3.000000e+00	1.052256e-02	0.000000e+00	2.183035e-03
-3.000000e+00	-2.600000e+00	1.570124e-02	0.000000e+00	2.702780e-03
-2.600000e+00	-2.200000e+00	2.429444e-02	0.000000e+00	2.891708e-03
-2.200000e+00	-1.800000e+00	3.759005e-02	0.000000e+00	3.550675e-03
-1.800000e+00	-1.400000e+00	5.834950e-02	0.000000e+00	5.628325e-03
-1.400000e+00	-1.000000e+00	8.953248e-02	0.000000e+00	7.813950e-03
-1.000000e+00	-6.000000e-01	1.245237e-01	0.000000e+00	2.208470e-02
-6.000000e-01	-2.000000e-01	1.095983e-01	0.000000e+00	5.625350e-03
-2.000000e-01	2.000000e-01	9.616560e-02	0.000000e+00	8.886525e-03
2.000000e-01	6.000000e-01	8.549988e-02	0.000000e+00	7.023975e-03
6.000000e-01	1.000000e+00	8.048127e-02	0.000000e+00	6.189275e-03
1.000000e+00	1.400000e+00	4.627573e-02	0.000000e+00	4.048025e-03
1.400000e+00	1.800000e+00	2.544692e-02	0.000000e+00	1.019900e-03
1.800000e+00	2.200000e+00	1.251550e-02	0.000000e+00	1.111887e-03
2.200000e+00	2.600000e+00	5.466815e-03	0.000000e+00	1.126525e-03
2.600000e+00	3.000000e+00	2.065535e-03	0.000000e+00	4.990350e-04
3.000000e+00	3.400000e+00	6.164928e-04	0.000000e+00	1.907895e-04
3.400000e+00	3.800000e+00	1.322076e-04	0.000000e+00	6.927773e-05
3.800000e+00	4.200000e+00	1.766290e-05	0.000000e+00	9.378352e-06
4.200000e+00	4.600000e+00	3.331605e-07	0.000000e+00	2.929315e-07
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.669770e-03	3.749752e-04	7.752325e-04
-4.600000e+00	-4.200000e+00	4.139825e-03	6.363850e-04	8.769625e-04
-4.200000e+00	-3.800000e+00	5.932525e-03	9.631525e-04	1.184360e-03
-3.800000e+00	-3.400000e+00	8.759395e-03	1.618513e-03	1.656598e-03
-3.400000e+00	-3.000000e+00	1.236564e-02	1.878160e-03	2.245168e-03
-3.000000e+00	-2.600000e+00	1.874234e-02	2.956088e-03	3.789952e-03
-2.600000e+00	-2.200000e+00	2.901110e-02	3.821800e-03	5.258450e-03
-2.200000e+00	-1.800000e+00	4.439142e-02	5.807425e-03	7.111050e-03
-1.800000e+00	-1.400000e+00	6.878985e-02	8.679850e-03	9.269350e-03
-1.400000e+00	-1.000000e+00	1.073504e-01	1.271577e-02	1.553945e-02
-1.000000e+00	-6.000000e-01	1.526702e-01	1.525460e-02	2.034440e-02
-6.000000e-01	-2.000000e-01	1.387106e-01	1.427278e-02	1.518153e-02
-2.000000e-01	2.000000e-01	1.286179e-01	1.309768e-02	1.600903e-02
2.000000e-01	6.000000e-01	1.269243e-01	1.332863e-02	1.394245e-02
6.000000e-01	1.000000e+00	1.193401e-01	1.193655e-02	1.358580e-02
1.000000e+00	1.400000e+00	6.888878e-02	7.786800e-03	8.843800e-03
1.400000e+00	1.800000e+00	3.420297e-02	4.007475e-03	4.366475e-03
1.800000e+00	2.200000e+00	1.563319e-02	2.000050e-03	2.942765e-03
2.200000e+00	2.600000e+00	6.488595e-03	8.903825e-04	1.320675e-03
2.600000e+00	3.000000e+00	2.347676e-03	3.431252e-04	7.559693e-04
3.000000e+00	3.400000e+00	8.048563e-04	2.656392e-04	1.390643e-04
3.400000e+00	3.800000e+00	1.472509e-04	1.954393e-05	2.611613e-05
3.800000e+00	4.200000e+00	2.399378e-05	1.028412e-05	1.433123e-06
4.200000e+00	4.600000e+00	4.430440e-07	3.534005e-07	2.320254e-06
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
ErrorBandColor=cyan
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=cyan
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
RatioPlotSameStyle=1
Title=h(2*,3,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.634637e-03	4.201090e-04	6.275850e-04
-4.600000e+00	-4.200000e+00	3.964763e-03	7.375650e-04	7.290800e-04
-4.200000e+00	-3.800000e+00	5.399882e-03	7.668975e-04	1.132470e-03
-3.800000e+00	-3.400000e+00	7.607038e-03	1.117110e-03	1.620815e-03
-3.400000e+00	-3.000000e+00	1.105717e-02	1.708688e-03	1.629103e-03
-3.000000e+00	-2.600000e+00	1.632251e-02	2.162728e-03	2.881497e-03
-2.600000e+00	-2.200000e+00	2.492606e-02	3.105130e-03	4.365238e-03
-2.200000e+00	-1.800000e+00	3.885577e-02	4.642575e-03	5.622700e-03
-1.800000e+00	-1.400000e+00	6.017825e-02	6.609525e-03	7.630425e-03
-1.400000e+00	-1.000000e+00	9.173055e-02	9.384725e-03	1.172068e-02
-1.000000e+00	-6.000000e-01	1.301217e-01	1.149702e-02	1.432578e-02
-6.000000e-01	-2.000000e-01	1.124232e-01	1.033483e-02	1.153972e-02
-2.000000e-01	2.000000e-01	9.920617e-02	8.401625e-03	9.887350e-03
2.000000e-01	6.000000e-01	8.918935e-02	7.830650e-03	8.621225e-03
6.000000e-01	1.000000e+00	8.299810e-02	7.155975e-03	8.799825e-03
1.000000e+00	1.400000e+00	4.928460e-02	4.797975e-03	4.714500e-03
1.400000e+00	1.800000e+00	2.648647e-02	2.811697e-03	3.174400e-03
1.800000e+00	2.200000e+00	1.343986e-02	1.821122e-03	1.769327e-03
2.200000e+00	2.600000e+00	5.895223e-03	8.351100e-04	9.973050e-04
2.600000e+00	3.000000e+00	2.271872e-03	3.750495e-04	4.241603e-04
3.000000e+00	3.400000e+00	6.957190e-04	1.404518e-04	1.822308e-04
3.400000e+00	3.800000e+00	1.583529e-04	3.601313e-05	5.122617e-05
3.800000e+00	4.200000e+00	2.002426e-05	5.205907e-06	4.676200e-06
4.200000e+00	4.600000e+00	6.126178e-07	2.360345e-07	1.051210e-07
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
ErrorBandColor=yellow
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=yellow
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
RatioPlotSameStyle=1
Title=h(2,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.738590e-03	5.003205e-04	7.325725e-04
-4.600000e+00	-4.200000e+00	4.072083e-03	7.586650e-04	1.074388e-03
-4.200000e+00	-3.800000e+00	5.756802e-03	9.749525e-04	1.644847e-03
-3.800000e+00	-3.400000e+00	8.343953e-03	1.502283e-03	1.938930e-03
-3.400000e+00	-3.000000e+00	1.219047e-02	2.037460e-03	2.617008e-03
-3.000000e+00	-2.600000e+00	1.822816e-02	3.078725e-03	3.723493e-03
-2.600000e+00	-2.200000e+00	2.824580e-02	4.428558e-03	5.426175e-03
-2.200000e+00	-1.800000e+00	4.416402e-02	6.252400e-03	7.935075e-03
-1.800000e+00	-1.400000e+00	6.932165e-02	1.016150e-02	1.075788e-02
-1.400000e+00	-1.000000e+00	1.092915e-01	1.477745e-02	1.661578e-02
-1.000000e+00	-6.000000e-01	1.575813e-01	1.964115e-02	2.340728e-02
-6.000000e-01	-2.000000e-01	1.358953e-01	1.494155e-02	1.902255e-02
-2.000000e-01	2.000000e-01	1.245952e-01	1.392375e-02	1.680308e-02
2.000000e-01	6.000000e-01	1.195229e-01	1.294967e-02	1.567888e-02
6.000000e-01	1.000000e+00	1.146520e-01	1.292855e-02	1.481462e-02
1.000000e+00	1.400000e+00	6.704900e-02	7.543575e-03	9.319000e-03
1.400000e+00	1.800000e+00	3.401057e-02	4.412975e-03	4.590100e-03
1.800000e+00	2.200000e+00	1.550870e-02	2.278907e-03	2.550870e-03
2.200000e+00	2.600000e+00	6.472433e-03	1.240758e-03	1.389025e-03
2.600000e+00	3.000000e+00	2.407986e-03	4.208397e-04	5.271013e-04
3.000000e+00	3.400000e+00	7.647578e-04	1.995058e-04	1.768615e-04
3.400000e+00	3.800000e+00	1.576855e-04	4.535683e-05	6.717163e-05
3.800000e+00	4.200000e+00	1.720424e-05	0.000000e+00	1.025090e-05
4.200000e+00	4.600000e+00	3.530678e-07	0.000000e+00	1.125185e-06
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
RatioPlotSameStyle=1
Title=h(2,3,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.682820e-03	5.159737e-04	6.629000e-04
-4.600000e+00	-4.200000e+00	3.971698e-03	7.878550e-04	9.295500e-04
-4.200000e+00	-3.800000e+00	5.641055e-03	1.023890e-03	1.140665e-03
-3.800000e+00	-3.400000e+00	7.814285e-03	1.341883e-03	1.641013e-03
-3.400000e+00	-3.000000e+00	1.131281e-02	1.928493e-03	2.194735e-03
-3.000000e+00	-2.600000e+00	1.678200e-02	2.662833e-03	3.164173e-03
-2.600000e+00	-2.200000e+00	2.593488e-02	3.995833e-03	4.344600e-03
-2.200000e+00	-1.800000e+00	4.052172e-02	5.759500e-03	6.744750e-03
-1.800000e+00	-1.400000e+00	6.328045e-02	8.497675e-03	1.001262e-02
-1.400000e+00	-1.000000e+00	9.880828e-02	1.284560e-02	1.500130e-02
-1.000000e+00	-6.000000e-01	1.402192e-01	1.703820e-02	2.069695e-02
-6.000000e-01	-2.000000e-01	1.174737e-01	1.321135e-02	1.581525e-02
-2.000000e-01	2.000000e-01	1.026748e-01	1.135468e-02	1.300225e-02
2.000000e-01	6.000000e-01	9.201568e-02	1.036880e-02	1.123227e-02
6.000000e-01	1.000000e+00	8.694620e-02	9.746800e-03	1.134628e-02
1.000000e+00	1.400000e+00	5.141533e-02	6.069450e-03	6.505025e-03
1.400000e+00	1.800000e+00	2.734882e-02	3.357845e-03	3.591800e-03
1.800000e+00	2.200000e+00	1.354943e-02	1.835792e-03	2.296948e-03
2.200000e+00	2.600000e+00	5.937208e-03	9.183075e-04	1.259665e-03
2.600000e+00	3.000000e+00	2.300932e-03	3.720765e-04	4.847508e-04
3.000000e+00	3.400000e+00	6.902743e-04	1.347585e-04	2.100373e-04
3.400000e+00	3.800000e+00	1.516364e-04	3.589445e-05	6.714400e-05
3.800000e+00	4.200000e+00	1.884307e-05	5.069405e-06	1.009178e-05
4.200000e+00	4.600000e+00	5.693748e-07	1.561998e-07	2.481305e-07
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
ErrorBandColor=purple
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=purple
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
RatioPlotSameStyle=1
Title=h(2,3)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.183332e-03	0.000000e+00	1.202198e-03
-4.600000e+00	-4.200000e+00	3.292040e-03	0.000000e+00	1.664225e-03
-4.200000e+00	-3.800000e+00	4.705790e-03	0.000000e+00	2.291130e-03
-3.800000e+00	-3.400000e+00	6.690423e-03	0.000000e+00	3.230855e-03
-3.400000e+00	-3.000000e+00	9.825485e-03	0.000000e+00	4.391480e-03
-3.000000e+00	-2.600000e+00	1.469357e-02	0.000000e+00	6.453585e-03
-2.600000e+00	-2.200000e+00	2.302785e-02	0.000000e+00	9.061150e-03
-2.200000e+00	-1.800000e+00	3.629185e-02	0.000000e+00	1.327330e-02
-1.800000e+00	-1.400000e+00	5.776970e-02	0.000000e+00	1.960993e-02
-1.400000e+00	-1.000000e+00	9.304373e-02	0.000000e+00	3.029450e-02
-1.000000e+00	-6.000000e-01	1.365913e-01	0.000000e+00	4.230300e-02
-6.000000e-01	-2.000000e-01	1.190255e-01	0.000000e+00	3.324635e-02
-2.000000e-01	2.000000e-01	1.091938e-01	0.000000e+00	2.901100e-02
2.000000e-01	6.000000e-01	1.048589e-01	0.000000e+00	2.682833e-02
6.000000e-01	1.000000e+00	1.000140e-01	0.000000e+00	2.708628e-02
1.000000e+00	1.400000e+00	5.796295e-02	0.000000e+00	1.572903e-02
1.400000e+00	1.800000e+00	2.871130e-02	0.000000e+00	8.237825e-03
1.800000e+00	2.200000e+00	1.265370e-02	0.000000e+00	4.456167e-03
2.200000e+00	2.600000e+00	5.148660e-03	0.000000e+00	2.292225e-03
2.600000e+00	3.000000e+00	1.847362e-03	0.000000e+00	1.076078e-03
3.000000e+00	3.400000e+00	5.625278e-04	0.000000e+00	2.743065e-04
3.400000e+00	3.800000e+00	1.070684e-04	0.000000e+00	8.668285e-05
3.800000e+00	4.200000e+00	1.296864e-05	0.000000e+00	1.099265e-05
4.200000e+00	4.600000e+00	4.182368e-07	0.000000e+00	3.913305e-07
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
ErrorBandColor=violet
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=violet
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
RatioPlotSameStyle=1
Title=h(2,3)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	3.310942e-03	1.161940e-03	0.000000e+00
-4.600000e+00	-4.200000e+00	4.797725e-03	1.584590e-03	0.000000e+00
-4.200000e+00	-3.800000e+00	6.688390e-03	2.147505e-03	0.000000e+00
-3.800000e+00	-3.400000e+00	9.229163e-03	2.813045e-03	0.000000e+00
-3.400000e+00	-3.000000e+00	1.321225e-02	3.983770e-03	0.000000e+00
-3.000000e+00	-2.600000e+00	1.960740e-02	5.664933e-03	0.000000e+00
-2.600000e+00	-2.200000e+00	2.997328e-02	8.204968e-03	0.000000e+00
-2.200000e+00	-1.800000e+00	4.657197e-02	1.215730e-02	0.000000e+00
-1.800000e+00	-1.400000e+00	7.211900e-02	1.782155e-02	0.000000e+00
-1.400000e+00	-1.000000e+00	1.129163e-01	2.763483e-02	0.000000e+00
-1.000000e+00	-6.000000e-01	1.601441e-01	3.761207e-02	0.000000e+00
-6.000000e-01	-2.000000e-01	1.323253e-01	2.873858e-02	0.000000e+00
-2.000000e-01	2.000000e-01	1.146465e-01	2.394277e-02	0.000000e+00
2.000000e-01	6.000000e-01	1.021194e-01	2.086578e-02	0.000000e+00
6.000000e-01	1.000000e+00	9.695315e-02	2.028555e-02	0.000000e+00
1.000000e+00	1.400000e+00	5.702870e-02	1.228860e-02	0.000000e+00
1.400000e+00	1.800000e+00	3.059497e-02	6.838195e-03	0.000000e+00
1.800000e+00	2.200000e+00	1.538220e-02	3.889832e-03	0.000000e+00
2.200000e+00	2.600000e+00	6.872848e-03	1.927425e-03	0.000000e+00
2.600000e+00	3.000000e+00	2.653358e-03	8.806415e-04	0.000000e+00
3.000000e+00	3.400000e+00	8.150053e-04	3.002370e-04	0.000000e+00
3.400000e+00	3.800000e+00	1.885056e-04	8.373643e-05	0.000000e+00
3.800000e+00	4.200000e+00	2.492829e-05	1.272474e-05	0.000000e+00
4.200000e+00	4.600000e+00	6.508025e-07	2.376115e-07	0.000000e+00
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

