# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl
XLabel=$y_{j_3}^{incl}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_3}^{incl}$ (fb)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/jet3_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	5.623025e-03	8.154500e-04	2.117300e-04
-4.400000e+00	-4.200000e+00	1.422362e-02	6.570750e-04	1.254190e-03
-4.200000e+00	-4.000000e+00	1.927896e-02	5.851950e-04	7.140550e-04
-4.000000e+00	-3.800000e+00	2.542532e-02	2.885645e-03	1.226445e-03
-3.800000e+00	-3.600000e+00	3.070228e-02	2.046075e-03	8.708350e-04
-3.600000e+00	-3.400000e+00	3.653888e-02	4.808425e-03	1.680940e-03
-3.400000e+00	-3.200000e+00	4.075568e-02	2.637600e-03	0.000000e+00
-3.200000e+00	-3.000000e+00	4.399021e-02	2.701200e-03	1.267695e-03
-3.000000e+00	-2.800000e+00	4.617868e-02	7.099800e-04	0.000000e+00
-2.800000e+00	-2.600000e+00	4.960767e-02	3.132320e-03	0.000000e+00
-2.600000e+00	-2.400000e+00	5.349975e-02	5.827715e-03	0.000000e+00
-2.400000e+00	-2.200000e+00	5.037970e-02	2.146745e-03	2.376100e-03
-2.200000e+00	-2.000000e+00	5.046905e-02	3.572105e-03	0.000000e+00
-2.000000e+00	-1.800000e+00	4.763080e-02	0.000000e+00	1.480330e-03
-1.800000e+00	-1.600000e+00	4.734712e-02	1.758800e-03	2.685335e-03
-1.600000e+00	-1.400000e+00	4.459879e-02	1.013880e-03	3.533500e-04
-1.400000e+00	-1.200000e+00	4.635281e-02	4.394420e-03	0.000000e+00
-1.200000e+00	-1.000000e+00	3.823780e-02	0.000000e+00	4.532135e-03
-1.000000e+00	-8.000000e-01	4.056873e-02	1.847180e-03	0.000000e+00
-8.000000e-01	-6.000000e-01	3.813004e-02	0.000000e+00	1.989905e-03
-6.000000e-01	-4.000000e-01	4.178015e-02	6.554465e-03	0.000000e+00
-4.000000e-01	-2.000000e-01	3.709734e-02	2.197715e-03	1.106050e-03
-2.000000e-01	0.000000e+00	3.629904e-02	1.395010e-03	7.333000e-04
0.000000e+00	2.000000e-01	3.844936e-02	2.563045e-03	1.101050e-04
2.000000e-01	4.000000e-01	3.658419e-02	1.601135e-02	5.284750e-04
4.000000e-01	6.000000e-01	3.648482e-02	0.000000e+00	3.680195e-03
6.000000e-01	8.000000e-01	3.760547e-02	0.000000e+00	4.309850e-03
8.000000e-01	1.000000e+00	4.280851e-02	5.796275e-03	0.000000e+00
1.000000e+00	1.200000e+00	4.272019e-02	1.033130e-03	1.031010e-03
1.200000e+00	1.400000e+00	4.233507e-02	0.000000e+00	2.611950e-03
1.400000e+00	1.600000e+00	4.374523e-02	0.000000e+00	6.344320e-03
1.600000e+00	1.800000e+00	4.383690e-02	0.000000e+00	3.049350e-03
1.800000e+00	2.000000e+00	5.019480e-02	4.728435e-03	0.000000e+00
2.000000e+00	2.200000e+00	4.968268e-02	3.377425e-03	0.000000e+00
2.200000e+00	2.400000e+00	5.199880e-02	6.376860e-03	5.951000e-04
2.400000e+00	2.600000e+00	4.948064e-02	2.384970e-03	1.025460e-03
2.600000e+00	2.800000e+00	4.739051e-02	9.284200e-04	3.744840e-03
2.800000e+00	3.000000e+00	4.534990e-02	2.830650e-04	3.652660e-03
3.000000e+00	3.200000e+00	4.301636e-02	2.296650e-04	7.185750e-04
3.200000e+00	3.400000e+00	3.932323e-02	1.582140e-03	2.990325e-03
3.400000e+00	3.600000e+00	3.561779e-02	2.954405e-03	1.932875e-03
3.600000e+00	3.800000e+00	3.097357e-02	0.000000e+00	6.632655e-03
3.800000e+00	4.000000e+00	2.489236e-02	1.218170e-03	9.442550e-04
4.000000e+00	4.200000e+00	1.965935e-02	7.449250e-04	0.000000e+00
4.200000e+00	4.400000e+00	1.377317e-02	3.832100e-04	9.860450e-04
4.400000e+00	4.600000e+00	5.978130e-03	9.142350e-04	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet3_y_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	5.287160e-03	0.000000e+00	2.288600e-04
-4.400000e+00	-4.200000e+00	1.289578e-02	0.000000e+00	1.362125e-03
-4.200000e+00	-4.000000e+00	1.762173e-02	0.000000e+00	1.954640e-03
-4.000000e+00	-3.800000e+00	2.292719e-02	0.000000e+00	2.020035e-03
-3.800000e+00	-3.600000e+00	2.763044e-02	0.000000e+00	2.837030e-03
-3.600000e+00	-3.400000e+00	3.189897e-02	0.000000e+00	2.647340e-03
-3.400000e+00	-3.200000e+00	3.667817e-02	0.000000e+00	3.079835e-03
-3.200000e+00	-3.000000e+00	3.955477e-02	0.000000e+00	3.649350e-03
-3.000000e+00	-2.800000e+00	4.096465e-02	0.000000e+00	3.055100e-03
-2.800000e+00	-2.600000e+00	4.210072e-02	0.000000e+00	2.169820e-03
-2.600000e+00	-2.400000e+00	4.330463e-02	0.000000e+00	7.552300e-04
-2.400000e+00	-2.200000e+00	4.270532e-02	0.000000e+00	1.804070e-03
-2.200000e+00	-2.000000e+00	4.129847e-02	0.000000e+00	2.243590e-03
-2.000000e+00	-1.800000e+00	3.977800e-02	0.000000e+00	1.616350e-02
