# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl
RatioPlotYLabel=Ratio
Scale=1000.0
XLabel=$p_{T,j_4}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_4}^{incl}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/jet4_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	3.434417e-03	5.750620e-04	6.717270e-04
3.000000e+01	4.000000e+01	3.695431e-03	5.652600e-04	7.055730e-04
4.000000e+01	5.000000e+01	1.568237e-03	2.537580e-04	4.553530e-04
5.000000e+01	6.000000e+01	6.761010e-04	1.016352e-04	2.341048e-04
6.000000e+01	7.000000e+01	5.146506e-04	2.560137e-04	0.000000e+00
7.000000e+01	8.000000e+01	1.582167e-04	3.733030e-05	3.617870e-05
8.000000e+01	9.000000e+01	7.683597e-05	1.481649e-05	2.202738e-05
9.000000e+01	1.000000e+02	4.437201e-05	1.289987e-05	1.251533e-05
1.000000e+02	1.100000e+02	2.419253e-05	8.742020e-06	7.842000e-06
1.100000e+02	1.200000e+02	1.285017e-05	3.417498e-06	5.036780e-06
1.200000e+02	1.300000e+02	8.643695e-06	3.049167e-06	2.618975e-06
1.300000e+02	1.400000e+02	5.159577e-06	1.503642e-06	2.589913e-06
1.400000e+02	1.500000e+02	3.382300e-06	8.892330e-07	1.574882e-06
1.500000e+02	1.600000e+02	2.315698e-06	5.381210e-07	1.201418e-06
1.600000e+02	1.700000e+02	1.644707e-06	6.446500e-07	7.063380e-07
1.700000e+02	1.800000e+02	1.074837e-06	3.763071e-07	5.093820e-07
1.800000e+02	1.900000e+02	7.583657e-07	4.490100e-08	3.984323e-07
1.900000e+02	2.000000e+02	6.173738e-07	1.624952e-07	2.463386e-07
2.000000e+02	2.100000e+02	4.784492e-07	1.647691e-07	1.833076e-07
2.100000e+02	2.200000e+02	3.434532e-07	8.977180e-08	2.535574e-07
2.200000e+02	2.300000e+02	3.264220e-07	1.662862e-07	1.225232e-07
2.300000e+02	2.400000e+02	2.636983e-07	8.779250e-08	1.996860e-08
2.400000e+02	2.500000e+02	1.707339e-07	5.400880e-08	2.599820e-08
2.500000e+02	2.600000e+02	2.048646e-07	7.616330e-08	1.649240e-08
2.600000e+02	2.700000e+02	1.461750e-07	8.350249e-08	2.738090e-08
2.700000e+02	2.800000e+02	1.122369e-07	5.298008e-08	4.952390e-08
2.800000e+02	2.900000e+02	7.364573e-08	1.489391e-08	2.412030e-08
2.900000e+02	3.000000e+02	3.662834e-08	0.000000e+00	3.415630e-08
3.000000e+02	3.100000e+02	4.005064e-08	1.552310e-09	1.715701e-08
3.100000e+02	3.200000e+02	3.429015e-08	1.100118e-08	1.788301e-08
3.200000e+02	3.300000e+02	2.576264e-08	1.126534e-08	2.622595e-08
3.300000e+02	3.400000e+02	1.745020e-08	0.000000e+00	1.655305e-08
3.400000e+02	3.500000e+02	2.240911e-08	8.960200e-09	5.321840e-09
3.500000e+02	3.600000e+02	1.133697e-08	0.000000e+00	1.665583e-08
3.600000e+02	3.700000e+02	9.415538e-09	4.573506e-09	2.324584e-08
3.700000e+02	3.800000e+02	9.069423e-09	1.210645e-09	6.417417e-09
3.800000e+02	3.900000e+02	8.499383e-09	5.667728e-09	1.258002e-08
3.900000e+02	4.000000e+02	5.215627e-09	0.000000e+00	4.853253e-09
4.000000e+02	4.100000e+02	6.081336e-09	3.133532e-09	1.027607e-08
4.100000e+02	4.200000e+02	4.581676e-09	2.592423e-09	0.000000e+00
4.200000e+02	4.300000e+02	7.042085e-09	2.904374e-09	1.652460e-09
4.300000e+02	4.400000e+02	2.253011e-09	8.077770e-10	1.707790e-09
4.400000e+02	4.500000e+02	2.763688e-09	8.507350e-10	1.713479e-09
4.500000e+02	4.600000e+02	2.368293e-09	1.556404e-09	0.000000e+00
4.600000e+02	4.700000e+02	8.872201e-10	0.000000e+00	1.023785e-09
4.700000e+02	4.800000e+02	2.491104e-09	2.094195e-09	4.834483e-09
4.800000e+02	4.900000e+02	1.220968e-09	1.820550e-10	1.632395e-09
4.900000e+02	5.000000e+02	5.898654e-10	0.000000e+00	2.778003e-09
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/jet4_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.866951e-03	0.000000e+00	6.250610e-04
3.000000e+01	4.000000e+01	1.757101e-03	0.000000e+00	6.433490e-04
4.000000e+01	5.000000e+01	6.702771e-04	0.000000e+00	2.353618e-04
5.000000e+01	6.000000e+01	2.612463e-04	0.000000e+00	1.069635e-04
6.000000e+01	7.000000e+01	1.123640e-04	0.000000e+00	4.405580e-05
7.000000e+01	8.000000e+01	5.496143e-05	9.681400e-07	1.050122e-05
8.000000e+01	9.000000e+01	2.261811e-05	0.000000e+00	8.996810e-06
9.000000e+01	1.000000e+02	1.049538e-05	0.000000e+00	3.211320e-06
1.000000e+02	1.100000e+02	6.348558e-06	0.000000e+00	2.026754e-06
1.100000e+02	1.200000e+02	2.785849e-06	0.000000e+00	1.005056e-06
1.200000e+02	1.300000e+02	1.597289e-06	0.000000e+00	3.245000e-07
1.300000e+02	1.400000e+02	8.685776e-07	0.000000e+00	1.594804e-07
1.400000e+02	1.500000e+02	5.164286e-07	0.000000e+00	2.002461e-07
1.500000e+02	1.600000e+02	3.329485e-07	1.339418e-07	1.384011e-07
1.600000e+02	1.700000e+02	2.064897e-07	6.154020e-08	2.953820e-08
1.700000e+02	1.800000e+02	1.086571e-07	0.000000e+00	2.181656e-07
1.800000e+02	1.900000e+02	7.265086e-08	0.000000e+00	3.806144e-08
1.900000e+02	2.000000e+02	4.666537e-08	0.000000e+00	4.339837e-08
2.000000e+02	2.100000e+02	2.853404e-08	0.000000e+00	1.179012e-08
2.100000e+02	2.200000e+02	1.580952e-08	0.000000e+00	4.141063e-08
2.200000e+02	2.300000e+02	9.202504e-09	0.000000e+00	8.399496e-09
2.300000e+02	2.400000e+02	-2.261207e-08	0.000000e+00	4.577773e-08
2.400000e+02	2.500000e+02	5.670268e-09	2.161391e-08	9.336632e-09
2.500000e+02	2.600000e+02	-5.652602e-09	0.000000e+00	1.216371e-08
2.600000e+02	2.700000e+02	4.279246e-09	0.000000e+00	4.739068e-09
2.700000e+02	2.800000e+02	4.493481e-09	2.686867e-09	6.726520e-10
2.800000e+02	2.900000e+02	-2.814462e-09	0.000000e+00	4.911527e-09
2.900000e+02	3.000000e+02	2.449570e-09	6.235626e-09	1.280383e-08
3.000000e+02	3.100000e+02	4.543750e-10	0.000000e+00	2.400805e-09
3.100000e+02	3.200000e+02	1.086422e-09	2.931277e-09	0.000000e+00
3.200000e+02	3.300000e+02	3.801634e-10	7.713333e-10	4.741502e-10
3.300000e+02	3.400000e+02	-8.955404e-11	0.000000e+00	6.810845e-10
3.400000e+02	3.500000e+02	2.064064e-10	3.372881e-10	5.596744e-10
3.500000e+02	3.600000e+02	1.945719e-10	0.000000e+00	3.137959e-10
