# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3
Title=$\log_{10}$(Integrated $3$ jet rate in $k_\perp$ [GeV])
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3
RightMargin=0.5
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3
XLabel=$\log_{10}(d_{\text{cut}}/\text{GeV})$
LegendAlign=r
YLabel=$R_{3}$
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/log10_R_3
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3
RatioPlotSameStyle=1
Title=h(2*,3*,4)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.722582e-01	5.742609e-01	5.442020e-02	2.054200e-02
2.722583e-01	3.445165e-01	5.346503e-01	5.407950e-02	1.843270e-02
3.445166e-01	4.167748e-01	4.835508e-01	4.549790e-02	1.642720e-02
4.167748e-01	4.890330e-01	4.284099e-01	3.373020e-02	1.385060e-02
4.890331e-01	5.612913e-01	3.770406e-01	2.352120e-02	8.727400e-03
5.612914e-01	6.335496e-01	3.249056e-01	1.398780e-02	3.546200e-03
6.335496e-01	7.058078e-01	2.733888e-01	5.565200e-03	0.000000e+00
7.058079e-01	7.780661e-01	2.239276e-01	6.403500e-03	5.022000e-04
7.780662e-01	8.503244e-01	1.773336e-01	4.047400e-03	4.479900e-03
8.503244e-01	9.225826e-01	1.375511e-01	5.506600e-03	5.056600e-03
9.225827e-01	9.948409e-01	1.032770e-01	5.666210e-03	5.464900e-03
9.948409e-01	1.067099e+00	7.619898e-02	4.746240e-03	4.285070e-03
1.067099e+00	1.139357e+00	5.510550e-02	3.382480e-03	3.401020e-03
1.139358e+00	1.211616e+00	3.916876e-02	2.570710e-03	3.061430e-03
1.211616e+00	1.283874e+00	2.794818e-02	1.890630e-03	2.143580e-03
1.283874e+00	1.356132e+00	1.979372e-02	1.507990e-03	1.566570e-03
1.356132e+00	1.428390e+00	1.371523e-02	7.115600e-04	1.374610e-03
1.428391e+00	1.500649e+00	9.881720e-03	7.478650e-04	8.609100e-04
1.500649e+00	1.572907e+00	7.026743e-03	5.287350e-04	5.507060e-04
1.572907e+00	1.645165e+00	5.079549e-03	4.576460e-04	3.187910e-04
1.645165e+00	1.717423e+00	3.552433e-03	2.761360e-04	2.767250e-04
1.717424e+00	1.789682e+00	2.637575e-03	2.701340e-04	0.000000e+00
1.789682e+00	1.861940e+00	1.911716e-03	2.337290e-04	0.000000e+00
1.861940e+00	1.934198e+00	1.384416e-03	1.922050e-04	0.000000e+00
1.934199e+00	2.006457e+00	1.026166e-03	1.769309e-04	0.000000e+00
2.006457e+00	2.078715e+00	7.629207e-04	1.372275e-04	0.000000e+00
2.078715e+00	2.150973e+00	5.806029e-04	1.256621e-04	0.000000e+00
2.150973e+00	2.223231e+00	4.605573e-04	1.364136e-04	0.000000e+00
2.223232e+00	2.295490e+00	3.651075e-04	1.359380e-04	0.000000e+00
2.295490e+00	2.367748e+00	1.779681e-04	1.676780e-05	2.845500e-06
2.367748e+00	2.440006e+00	1.270635e-04	2.480810e-05	1.959700e-06
2.440006e+00	2.512264e+00	9.274743e-05	2.145035e-05	0.000000e+00
2.512265e+00	2.584523e+00	6.580418e-05	1.609011e-05	2.316530e-06
2.584523e+00	2.656781e+00	4.822140e-05	2.044126e-05	0.000000e+00
2.656781e+00	2.729039e+00	3.544528e-05	6.199530e-06	0.000000e+00
2.729039e+00	2.801297e+00	2.670613e-05	3.912130e-06	0.000000e+00
2.801298e+00	2.873556e+00	2.016979e-05	3.105690e-06	0.000000e+00
2.873556e+00	2.945814e+00	1.531878e-05	2.569850e-06	0.000000e+00
2.945814e+00	3.018072e+00	1.146617e-05	2.567930e-06	0.000000e+00
3.018073e+00	3.090331e+00	6.600965e-06	3.587690e-07	0.000000e+00
3.090331e+00	3.162589e+00	4.689141e-06	0.000000e+00	1.966530e-07
3.162589e+00	3.234847e+00	3.020363e-06	0.000000e+00	4.080300e-07
3.234847e+00	3.307105e+00	1.923482e-06	0.000000e+00	6.002760e-07
3.307106e+00	3.379364e+00	1.397825e-06	0.000000e+00	3.645710e-07
3.379364e+00	3.451622e+00	9.245385e-07	0.000000e+00	6.691355e-07
3.451622e+00	3.523880e+00	6.378689e-07	0.000000e+00	4.972051e-07
3.523880e+00	3.596138e+00	4.138883e-07	0.000000e+00	2.395435e-07
3.596139e+00	3.668397e+00	1.887611e-07	0.000000e+00	3.210288e-07
3.668397e+00	3.740655e+00	1.855394e-07	0.000000e+00	2.732271e-07
3.740655e+00	3.812913e+00	9.130663e-08	0.000000e+00	2.617817e-07
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/log10_R_3
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
XLabel=~
YLabel=~
