# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/dijet_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/dijet_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=1.4
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/dijet_mass
RatioPlotYLabel=Ratio
Scale=1000.0
XLabel=$m_{j_1j_2}$ (GeV)
LegendAlign=r
XMax=1000.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_2}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/dijet_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/dijet_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/dijet_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+02	2.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+02	3.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+02	3.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+02	4.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+02	4.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+02	5.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+02	5.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+02	6.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+02	6.400000e+02	8.079155e-04	1.266950e-05	2.178575e-05
6.400000e+02	6.800000e+02	8.380017e-04	2.651700e-05	2.184250e-05
6.800000e+02	7.200000e+02	8.703417e-04	2.036575e-05	0.000000e+00
7.200000e+02	7.600000e+02	8.705918e-04	2.765700e-05	1.865750e-06
7.600000e+02	8.000000e+02	8.525640e-04	6.449000e-06	1.702150e-05
8.000000e+02	8.400000e+02	8.467588e-04	1.774250e-05	8.832750e-06
8.400000e+02	8.800000e+02	8.782155e-04	6.709700e-05	0.000000e+00
8.800000e+02	9.200000e+02	8.015240e-04	5.552500e-06	5.615000e-07
9.200000e+02	9.600000e+02	7.784710e-04	1.083625e-05	1.486750e-05
9.600000e+02	1.000000e+03	7.527425e-04	2.498750e-05	0.000000e+00
1.000000e+03	1.040000e+03	7.169710e-04	1.552525e-05	1.314475e-05
1.040000e+03	1.080000e+03	6.940328e-04	9.222750e-06	6.306500e-06
1.080000e+03	1.120000e+03	6.677485e-04	6.387250e-06	0.000000e+00
1.120000e+03	1.160000e+03	6.302375e-04	0.000000e+00	1.956825e-05
1.160000e+03	1.200000e+03	6.051185e-04	1.573075e-05	0.000000e+00
1.200000e+03	1.240000e+03	5.708415e-04	4.165000e-06	4.112500e-07
1.240000e+03	1.280000e+03	5.459520e-04	1.742000e-06	1.560500e-06
1.280000e+03	1.320000e+03	5.202733e-04	7.225000e-07	9.707250e-06
1.320000e+03	1.360000e+03	4.865320e-04	0.000000e+00	4.578000e-06
1.360000e+03	1.400000e+03	4.699385e-04	7.677500e-06	0.000000e+00
1.400000e+03	1.440000e+03	4.444572e-04	5.714500e-06	1.975500e-06
1.440000e+03	1.480000e+03	4.220507e-04	8.512500e-06	4.703250e-06
1.480000e+03	1.520000e+03	3.956860e-04	0.000000e+00	5.332500e-07
1.520000e+03	1.560000e+03	3.777845e-04	4.882000e-06	0.000000e+00
1.560000e+03	1.600000e+03	3.589362e-04	3.275250e-06	0.000000e+00
1.600000e+03	1.640000e+03	3.392405e-04	9.326750e-06	0.000000e+00
1.640000e+03	1.680000e+03	3.182440e-04	1.850750e-06	2.630000e-07
1.680000e+03	1.720000e+03	3.038690e-04	2.071025e-05	0.000000e+00
1.720000e+03	1.760000e+03	2.877338e-04	4.511000e-06	3.550000e-07
1.760000e+03	1.800000e+03	2.750447e-04	3.505250e-06	9.698250e-06
1.800000e+03	1.840000e+03	2.607152e-04	5.427000e-06	0.000000e+00
1.840000e+03	1.880000e+03	2.448944e-04	2.593925e-06	2.085675e-06
1.880000e+03	1.920000e+03	2.328199e-04	2.238125e-06	0.000000e+00
1.920000e+03	1.960000e+03	2.169711e-04	0.000000e+00	7.640500e-07
1.960000e+03	2.000000e+03	2.090924e-04	4.179100e-06	0.000000e+00
2.000000e+03	2.040000e+03	1.945067e-04	6.682500e-07	3.219775e-06
2.040000e+03	2.080000e+03	1.880047e-04	3.671475e-06	0.000000e+00
2.080000e+03	2.120000e+03	1.750909e-04	0.000000e+00	8.791250e-07
2.120000e+03	2.160000e+03	1.691695e-04	6.038750e-06	0.000000e+00
2.160000e+03	2.200000e+03	1.577726e-04	2.853100e-06	0.000000e+00
2.200000e+03	2.240000e+03	1.509471e-04	3.638650e-06	0.000000e+00
2.240000e+03	2.280000e+03	1.401088e-04	3.676750e-07	3.976600e-06
