# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine
RatioPlotYLabel=Ratio
Scale=1000.0
XLabel=$m_{j_1j_3}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_3}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/j1j3_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	3.584713e-08	1.386113e-08	1.054695e-08
2.000000e+01	2.400000e+01	2.669777e-06	0.000000e+00	4.862575e-07
2.400000e+01	2.800000e+01	1.891649e-05	1.166827e-06	4.736967e-06
2.800000e+01	3.200000e+01	5.897115e-05	2.239825e-06	4.384200e-06
3.200000e+01	3.600000e+01	1.211651e-04	2.425875e-06	6.760350e-06
3.600000e+01	4.000000e+01	1.952315e-04	0.000000e+00	7.632125e-06
4.000000e+01	4.400000e+01	2.764912e-04	8.731500e-06	1.225950e-05
4.400000e+01	4.800000e+01	3.485350e-04	2.568350e-05	2.147225e-05
4.800000e+01	5.200000e+01	3.865093e-04	1.140925e-05	4.220475e-05
5.200000e+01	5.600000e+01	4.505363e-04	4.998600e-05	1.948450e-05
5.600000e+01	6.000000e+01	4.875167e-04	3.142275e-05	6.143750e-05
6.000000e+01	6.400000e+01	5.325145e-04	3.786150e-05	0.000000e+00
6.400000e+01	6.800000e+01	5.729315e-04	6.697675e-05	2.678700e-05
6.800000e+01	7.200000e+01	5.690905e-04	6.472150e-05	3.131700e-05
7.200000e+01	7.600000e+01	5.706520e-04	1.509025e-05	1.625492e-04
7.600000e+01	8.000000e+01	5.832358e-04	2.460150e-05	4.985600e-05
8.000000e+01	8.400000e+01	6.023020e-04	7.915475e-05	8.794950e-05
8.400000e+01	8.800000e+01	5.867462e-04	6.242000e-05	1.391200e-05
8.800000e+01	9.200000e+01	5.484570e-04	4.327475e-05	3.911000e-05
9.200000e+01	9.600000e+01	5.266880e-04	2.675050e-05	8.909300e-05
9.600000e+01	1.000000e+02	5.220410e-04	2.056575e-05	1.143200e-05
1.000000e+02	1.040000e+02	5.065095e-04	2.817350e-05	1.088800e-05
1.040000e+02	1.080000e+02	4.529153e-04	8.915500e-06	1.879500e-05
1.080000e+02	1.120000e+02	5.025412e-04	1.173160e-04	0.000000e+00
1.120000e+02	1.160000e+02	4.386658e-04	4.141925e-05	0.000000e+00
1.160000e+02	1.200000e+02	4.572527e-04	7.237375e-05	0.000000e+00
1.200000e+02	1.240000e+02	3.685312e-04	4.602075e-05	7.915725e-05
1.240000e+02	1.280000e+02	3.594727e-04	3.907250e-06	4.566525e-05
1.280000e+02	1.320000e+02	3.400172e-04	3.169125e-05	3.178900e-05
1.320000e+02	1.360000e+02	3.216112e-04	0.000000e+00	5.078550e-05
1.360000e+02	1.400000e+02	3.083372e-04	2.596600e-05	0.000000e+00
1.400000e+02	1.440000e+02	2.676872e-04	0.000000e+00	4.332300e-05
1.440000e+02	1.480000e+02	2.389731e-04	1.883062e-05	2.292543e-05
1.480000e+02	1.520000e+02	2.408384e-04	4.711428e-05	0.000000e+00
1.520000e+02	1.560000e+02	2.476400e-04	3.768698e-05	0.000000e+00
1.560000e+02	1.600000e+02	2.076087e-04	2.063700e-06	4.250777e-05
1.600000e+02	1.640000e+02	1.988805e-04	7.977500e-07	2.347760e-05
1.640000e+02	1.680000e+02	1.999158e-04	2.879030e-05	0.000000e+00
1.680000e+02	1.720000e+02	1.661818e-04	0.000000e+00	2.857280e-05
1.720000e+02	1.760000e+02	1.696545e-04	2.711073e-05	1.836665e-05
1.760000e+02	1.800000e+02	1.562008e-04	4.937625e-06	0.000000e+00
1.800000e+02	1.840000e+02	1.323724e-04	0.000000e+00	3.104178e-05
1.840000e+02	1.880000e+02	1.340231e-04	8.586100e-06	1.854125e-06
1.880000e+02	1.920000e+02	1.271508e-04	3.314140e-05	2.683407e-05
1.920000e+02	1.960000e+02	1.077718e-04	0.000000e+00	7.962985e-05
1.960000e+02	2.000000e+02	1.119187e-04	1.144865e-05	5.524800e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	5.057898e-08	1.067873e-08	0.000000e+00
2.000000e+01	2.400000e+01	3.667965e-06	1.313703e-06	0.000000e+00
2.400000e+01	2.800000e+01	2.273688e-05	4.442535e-06	0.000000e+00
2.800000e+01	3.200000e+01	6.384635e-05	8.315300e-06	0.000000e+00
3.200000e+01	3.600000e+01	1.313828e-04	1.329165e-05	0.000000e+00
3.600000e+01	4.000000e+01	2.001417e-04	7.270450e-06	3.776750e-07
4.000000e+01	4.400000e+01	2.648683e-04	8.575000e-08	1.377450e-05
4.400000e+01	4.800000e+01	3.267220e-04	0.000000e+00	3.262900e-05
4.800000e+01	5.200000e+01	3.737213e-04	0.000000e+00	4.998350e-05
5.200000e+01	5.600000e+01	4.137355e-04	0.000000e+00	6.737550e-05
5.600000e+01	6.000000e+01	4.550778e-04	0.000000e+00	7.509600e-05
6.000000e+01	6.400000e+01	4.829700e-04	0.000000e+00	9.454350e-05
6.400000e+01	6.800000e+01	4.974238e-04	0.000000e+00	5.332300e-05
6.800000e+01	7.200000e+01	5.206127e-04	0.000000e+00	8.027700e-05
7.200000e+01	7.600000e+01	5.165732e-04	0.000000e+00	5.417000e-05
7.600000e+01	8.000000e+01	5.212405e-04	0.000000e+00	6.736350e-05
8.000000e+01	8.400000e+01	5.313908e-04	0.000000e+00	3.661925e-05
8.400000e+01	8.800000e+01	4.957035e-04	0.000000e+00	7.312675e-05
8.800000e+01	9.200000e+01	5.063653e-04	0.000000e+00	7.106225e-05
9.200000e+01	9.600000e+01	4.797950e-04	0.000000e+00	7.506250e-05
