# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass
XLabel=$m_{j_2j_3j_4}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3j_4}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/j2j3j4_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.000000e+01	-4.878470e-10	0.000000e+00	1.937684e-08
4.000000e+01	5.000000e+01	2.133562e-07	0.000000e+00	5.357630e-08
5.000000e+01	6.000000e+01	1.721286e-06	1.932520e-07	0.000000e+00
6.000000e+01	7.000000e+01	4.358353e-06	0.000000e+00	1.335033e-06
7.000000e+01	8.000000e+01	1.105508e-05	8.834000e-07	1.210690e-06
8.000000e+01	9.000000e+01	1.475528e-05	0.000000e+00	4.698700e-06
9.000000e+01	1.000000e+02	2.076406e-05	1.398360e-06	3.673820e-06
1.000000e+02	1.100000e+02	2.811407e-05	5.989800e-06	2.346090e-06
1.100000e+02	1.200000e+02	2.975244e-05	3.313820e-06	9.875280e-06
1.200000e+02	1.300000e+02	2.734222e-05	1.903090e-06	1.164264e-05
1.300000e+02	1.400000e+02	3.179568e-05	9.170000e-07	3.889230e-06
1.400000e+02	1.500000e+02	3.339979e-05	9.652810e-06	1.381802e-05
1.500000e+02	1.600000e+02	3.235819e-05	6.701620e-06	0.000000e+00
1.600000e+02	1.700000e+02	2.208677e-05	1.864200e-06	8.476260e-06
1.700000e+02	1.800000e+02	2.517777e-05	6.658760e-06	5.515390e-06
1.800000e+02	1.900000e+02	1.921194e-05	2.706440e-06	7.028200e-06
1.900000e+02	2.000000e+02	1.930930e-05	4.206080e-06	9.570650e-06
2.000000e+02	2.100000e+02	2.435976e-05	7.888330e-06	8.385100e-07
2.100000e+02	2.200000e+02	1.803855e-05	3.891320e-06	4.666510e-06
2.200000e+02	2.300000e+02	1.673371e-05	4.410530e-06	7.506600e-07
2.300000e+02	2.400000e+02	1.167320e-05	9.457800e-07	3.033110e-06
2.400000e+02	2.500000e+02	1.159684e-05	1.117520e-06	0.000000e+00
2.500000e+02	2.600000e+02	1.105227e-05	2.821529e-06	7.338700e-07
2.600000e+02	2.700000e+02	1.016481e-05	1.445664e-06	6.700650e-06
2.700000e+02	2.800000e+02	8.265599e-06	9.619370e-07	5.087091e-06
2.800000e+02	2.900000e+02	9.116028e-06	1.641988e-06	2.469202e-06
2.900000e+02	3.000000e+02	1.090192e-05	4.424259e-06	0.000000e+00
3.000000e+02	3.100000e+02	7.367169e-06	1.426772e-06	7.136791e-06
3.100000e+02	3.200000e+02	6.858556e-06	1.822900e-08	2.713763e-06
3.200000e+02	3.300000e+02	9.480313e-06	1.735250e-06	0.000000e+00
3.300000e+02	3.400000e+02	7.060839e-06	9.838550e-07	4.150391e-06
3.400000e+02	3.500000e+02	6.686752e-06	1.606988e-06	2.418566e-06
3.500000e+02	3.600000e+02	6.398659e-06	0.000000e+00	3.304106e-06
3.600000e+02	3.700000e+02	6.235058e-06	3.630430e-07	2.817339e-06
3.700000e+02	3.800000e+02	5.955612e-06	1.065421e-06	1.473926e-06
3.800000e+02	3.900000e+02	4.137357e-06	0.000000e+00	2.591277e-05
3.900000e+02	4.000000e+02	7.084347e-06	1.456493e-06	2.094730e-07
4.000000e+02	4.100000e+02	6.412198e-06	0.000000e+00	2.017787e-06
4.100000e+02	4.200000e+02	5.835949e-06	3.670790e-06	2.260093e-06
4.200000e+02	4.300000e+02	5.426481e-06	2.434550e-07	2.086482e-06
4.300000e+02	4.400000e+02	6.552341e-06	1.290601e-06	2.395429e-06
4.400000e+02	4.500000e+02	5.581364e-06	0.000000e+00	2.905257e-06
4.500000e+02	4.600000e+02	7.380193e-06	3.555167e-06	0.000000e+00
4.600000e+02	4.700000e+02	5.177883e-06	1.347467e-06	0.000000e+00
4.700000e+02	4.800000e+02	6.693992e-06	2.249366e-06	2.269976e-06
4.800000e+02	4.900000e+02	3.146404e-06	0.000000e+00	6.464312e-06
4.900000e+02	5.000000e+02	5.539104e-06	2.917420e-07	1.648009e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.000000e+01	1.368123e-09	9.542671e-09	0.000000e+00
4.000000e+01	5.000000e+01	2.376467e-07	7.271200e-09	3.900100e-09
5.000000e+01	6.000000e+01	1.564796e-06	1.207000e-07	1.153410e-07
6.000000e+01	7.000000e+01	5.875716e-06	5.809020e-07	0.000000e+00
7.000000e+01	8.000000e+01	1.012425e-05	2.908170e-07	1.552400e-06
8.000000e+01	9.000000e+01	1.504008e-05	0.000000e+00	4.451570e-06
9.000000e+01	1.000000e+02	1.857546e-05	0.000000e+00	7.009840e-06
1.000000e+02	1.100000e+02	2.258717e-05	0.000000e+00	6.069800e-06
1.100000e+02	1.200000e+02	2.666914e-05	0.000000e+00	5.631100e-06
1.200000e+02	1.300000e+02	2.510168e-05	0.000000e+00	1.318408e-05
1.300000e+02	1.400000e+02	2.253168e-05	0.000000e+00	1.487923e-05
1.400000e+02	1.500000e+02	2.361568e-05	0.000000e+00	1.109870e-05
1.500000e+02	1.600000e+02	2.192828e-05	0.000000e+00	1.207430e-05
1.600000e+02	1.700000e+02	1.955083e-05	0.000000e+00	1.171856e-05
1.700000e+02	1.800000e+02	2.003310e-05	0.000000e+00	6.425430e-06
1.800000e+02	1.900000e+02	1.676121e-05	0.000000e+00	1.228756e-05
1.900000e+02	2.000000e+02	1.459044e-05	0.000000e+00	7.951470e-06
2.000000e+02	2.100000e+02	1.227108e-05	0.000000e+00	8.335370e-06
2.100000e+02	2.200000e+02	1.150082e-05	0.000000e+00	4.842950e-06
2.200000e+02	2.300000e+02	8.234391e-06	0.000000e+00	7.557939e-06
2.300000e+02	2.400000e+02	9.781216e-06	0.000000e+00	3.328074e-06
2.400000e+02	2.500000e+02	7.351539e-06	0.000000e+00	4.234361e-06
2.500000e+02	2.600000e+02	6.633617e-06	0.000000e+00	5.335333e-06
2.600000e+02	2.700000e+02	6.298521e-06	0.000000e+00	3.465790e-06
2.700000e+02	2.800000e+02	6.731747e-06	0.000000e+00	2.666899e-06
2.800000e+02	2.900000e+02	6.998428e-06	1.386850e-07	1.869795e-06
2.900000e+02	3.000000e+02	5.832374e-06	0.000000e+00	3.131588e-06
3.000000e+02	3.100000e+02	4.334338e-06	0.000000e+00	3.266677e-06
3.100000e+02	3.200000e+02	6.103007e-06	3.167240e-07	4.971340e-07
3.200000e+02	3.300000e+02	4.721905e-06	0.000000e+00	1.225883e-06
3.300000e+02	3.400000e+02	3.944324e-06	0.000000e+00	2.726007e-06
3.400000e+02	3.500000e+02	4.919737e-06	0.000000e+00	2.106664e-06
3.500000e+02	3.600000e+02	3.577672e-06	0.000000e+00	1.612477e-06
