# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$m_{j_2j_4}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_4}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/j2j4_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	1.502101e-08	0.000000e+00	1.518502e-07
2.000000e+01	2.400000e+01	1.680882e-06	0.000000e+00	9.656700e-07
2.400000e+01	2.800000e+01	1.074850e-05	7.962063e-06	1.047957e-06
2.800000e+01	3.200000e+01	2.088996e-05	3.529740e-06	4.340438e-06
3.200000e+01	3.600000e+01	4.517990e-05	9.808275e-06	0.000000e+00
3.600000e+01	4.000000e+01	4.601682e-05	2.115675e-06	1.482218e-05
4.000000e+01	4.400000e+01	5.779203e-05	2.276700e-06	1.667848e-05
4.400000e+01	4.800000e+01	6.484917e-05	6.009150e-06	2.887140e-05
4.800000e+01	5.200000e+01	9.113768e-05	3.542840e-05	0.000000e+00
5.200000e+01	5.600000e+01	6.563462e-05	6.683350e-06	1.551398e-05
5.600000e+01	6.000000e+01	7.659982e-05	1.424102e-05	6.569125e-06
6.000000e+01	6.400000e+01	6.575903e-05	0.000000e+00	2.578665e-05
6.400000e+01	6.800000e+01	7.510760e-05	1.283388e-05	2.648772e-05
6.800000e+01	7.200000e+01	6.722848e-05	9.449600e-06	1.841815e-05
7.200000e+01	7.600000e+01	8.063298e-05	2.305910e-05	0.000000e+00
7.600000e+01	8.000000e+01	7.595090e-05	1.517182e-05	0.000000e+00
8.000000e+01	8.400000e+01	7.201875e-05	1.003580e-05	2.746725e-05
8.400000e+01	8.800000e+01	6.743875e-05	1.067760e-05	5.829910e-05
8.800000e+01	9.200000e+01	6.568415e-05	1.533120e-05	2.394998e-05
9.200000e+01	9.600000e+01	6.284920e-05	2.339305e-05	2.997600e-06
9.600000e+01	1.000000e+02	7.933832e-05	2.461547e-05	0.000000e+00
1.000000e+02	1.040000e+02	4.473965e-05	4.409075e-06	1.496835e-05
1.040000e+02	1.080000e+02	4.347605e-05	8.251925e-06	1.220625e-05
1.080000e+02	1.120000e+02	4.438455e-05	8.715575e-06	1.509222e-05
1.120000e+02	1.160000e+02	2.721643e-05	0.000000e+00	1.278995e-05
1.160000e+02	1.200000e+02	3.630702e-05	1.494306e-05	5.919750e-06
1.200000e+02	1.240000e+02	3.360517e-05	8.807698e-06	3.396475e-06
1.240000e+02	1.280000e+02	2.734382e-05	4.727765e-06	6.772600e-06
1.280000e+02	1.320000e+02	2.937132e-05	3.727175e-06	3.036425e-06
1.320000e+02	1.360000e+02	2.235150e-05	4.748468e-06	8.234798e-06
1.360000e+02	1.400000e+02	1.926697e-05	0.000000e+00	8.487180e-06
1.400000e+02	1.440000e+02	2.247377e-05	6.708180e-06	1.367571e-05
1.440000e+02	1.480000e+02	2.162482e-05	1.121349e-05	5.310177e-06
1.480000e+02	1.520000e+02	1.899520e-05	7.132428e-06	6.385247e-06
1.520000e+02	1.560000e+02	2.092139e-05	5.654513e-06	0.000000e+00
1.560000e+02	1.600000e+02	1.272655e-05	0.000000e+00	7.015305e-06
1.600000e+02	1.640000e+02	1.405173e-05	2.336510e-06	7.957158e-06
1.640000e+02	1.680000e+02	1.567134e-05	2.526250e-06	6.051572e-06
1.680000e+02	1.720000e+02	1.492668e-05	8.948800e-07	3.463313e-06
1.720000e+02	1.760000e+02	1.209096e-05	1.100027e-06	0.000000e+00
1.760000e+02	1.800000e+02	1.230070e-05	2.807213e-06	9.090750e-07
1.800000e+02	1.840000e+02	1.120487e-05	2.054090e-06	4.800850e-07
1.840000e+02	1.880000e+02	1.321091e-05	1.780817e-06	2.749100e-06
1.880000e+02	1.920000e+02	9.701625e-06	7.178625e-07	5.859500e-06
1.920000e+02	1.960000e+02	9.084560e-06	0.000000e+00	6.313269e-05
1.960000e+02	2.000000e+02	7.830967e-06	2.712970e-06	2.534675e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	7.721490e-08	8.005382e-08	2.523513e-08
2.000000e+01	2.400000e+01	2.120148e-06	7.507425e-07	0.000000e+00
2.400000e+01	2.800000e+01	1.130030e-05	1.854145e-06	0.000000e+00
2.800000e+01	3.200000e+01	1.449396e-05	0.000000e+00	1.094746e-05
3.200000e+01	3.600000e+01	4.030390e-05	6.505500e-07	2.049750e-06
3.600000e+01	4.000000e+01	4.825100e-05	0.000000e+00	5.862850e-06
4.000000e+01	4.400000e+01	5.287802e-05	0.000000e+00	1.635163e-05
4.400000e+01	4.800000e+01	5.479850e-05	0.000000e+00	2.437203e-05
4.800000e+01	5.200000e+01	5.674565e-05	0.000000e+00	2.129010e-05
5.200000e+01	5.600000e+01	5.796062e-05	0.000000e+00	2.210217e-05
5.600000e+01	6.000000e+01	6.307100e-05	0.000000e+00	2.409745e-05
6.000000e+01	6.400000e+01	5.645900e-05	0.000000e+00	8.550443e-05
6.400000e+01	6.800000e+01	6.790145e-05	0.000000e+00	1.474325e-05
6.800000e+01	7.200000e+01	5.635220e-05	0.000000e+00	2.317963e-05
7.200000e+01	7.600000e+01	5.182140e-05	0.000000e+00	2.209610e-05
7.600000e+01	8.000000e+01	4.947693e-05	0.000000e+00	3.046927e-05
8.000000e+01	8.400000e+01	4.881432e-05	0.000000e+00	1.896430e-05
8.400000e+01	8.800000e+01	4.894750e-05	0.000000e+00	2.532695e-05
8.800000e+01	9.200000e+01	4.501188e-05	0.000000e+00	1.861755e-05
9.200000e+01	9.600000e+01	3.873423e-05	0.000000e+00	2.807325e-05
