# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x
XLabel=$x_{j_3}^{\star}$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} x_{j_3}^{\star}$ (fb)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/jet3_x
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	1.533811e-07	0.000000e+00	1.548459e-06
-4.200000e+00	-3.800000e+00	1.509232e-05	1.355962e-06	7.726125e-06
-3.800000e+00	-3.400000e+00	1.070041e-04	2.660483e-05	7.761650e-05
-3.400000e+00	-3.000000e+00	4.428813e-04	1.326188e-04	1.166972e-04
-3.000000e+00	-2.600000e+00	1.179507e-03	4.753900e-05	1.101673e-04
-2.600000e+00	-2.200000e+00	2.976085e-03	2.403550e-04	0.000000e+00
-2.200000e+00	-1.800000e+00	7.277190e-03	1.666210e-03	4.248375e-04
-1.800000e+00	-1.400000e+00	1.411763e-02	1.395355e-03	1.293150e-03
-1.400000e+00	-1.000000e+00	2.569505e-02	2.110593e-03	2.489100e-03
-1.000000e+00	-6.000000e-01	4.287775e-02	3.139500e-03	2.750975e-03
-6.000000e-01	-2.000000e-01	4.027340e-02	2.380000e-03	4.263100e-03
-2.000000e-01	2.000000e-01	3.942543e-02	2.568625e-03	1.915700e-03
2.000000e-01	6.000000e-01	3.754227e-02	2.685300e-03	1.148075e-03
6.000000e-01	1.000000e+00	3.621980e-02	1.337650e-03	3.228550e-03
1.000000e+00	1.400000e+00	2.287330e-02	9.391875e-04	2.067100e-03
1.400000e+00	1.800000e+00	1.607770e-02	3.221765e-03	0.000000e+00
1.800000e+00	2.200000e+00	9.371907e-03	6.509425e-04	3.952725e-04
2.200000e+00	2.600000e+00	5.838985e-03	2.794200e-04	7.613050e-04
2.600000e+00	3.000000e+00	2.374654e-03	1.484153e-04	3.390065e-04
3.000000e+00	3.400000e+00	9.392228e-04	2.717178e-04	0.000000e+00
3.400000e+00	3.800000e+00	1.852176e-04	1.228554e-04	0.000000e+00
3.800000e+00	4.200000e+00	2.672637e-05	8.757770e-06	0.000000e+00
4.200000e+00	4.600000e+00	5.898818e-07	1.776563e-07	7.584828e-07
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/jet3_x
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	6.227748e-07	2.508280e-07	4.471875e-07
-4.200000e+00	-3.800000e+00	1.536620e-05	0.000000e+00	7.600935e-06
-3.800000e+00	-3.400000e+00	8.796490e-05	0.000000e+00	2.811665e-05
-3.400000e+00	-3.000000e+00	3.487215e-04	0.000000e+00	1.806305e-04
-3.000000e+00	-2.600000e+00	1.196844e-03	0.000000e+00	2.505277e-04
-2.600000e+00	-2.200000e+00	3.006510e-03	0.000000e+00	5.275050e-04
-2.200000e+00	-1.800000e+00	6.152355e-03	0.000000e+00	1.071710e-03
-1.800000e+00	-1.400000e+00	1.251318e-02	0.000000e+00	2.117075e-03
-1.400000e+00	-1.000000e+00	2.377757e-02	0.000000e+00	3.773205e-03
-1.000000e+00	-6.000000e-01	3.891470e-02	0.000000e+00	7.078750e-03
-6.000000e-01	-2.000000e-01	3.802360e-02	0.000000e+00	3.866250e-03
-2.000000e-01	2.000000e-01	3.623317e-02	0.000000e+00	4.223800e-03
2.000000e-01	6.000000e-01	3.397803e-02	0.000000e+00	4.250200e-03
6.000000e-01	1.000000e+00	3.360502e-02	0.000000e+00	2.477950e-03
1.000000e+00	1.400000e+00	2.035897e-02	0.000000e+00	2.443790e-03
1.400000e+00	1.800000e+00	1.268840e-02	0.000000e+00	6.807800e-04
1.800000e+00	2.200000e+00	8.170000e-03	0.000000e+00	9.929325e-04
2.200000e+00	2.600000e+00	4.973315e-03	0.000000e+00	1.015512e-03
2.600000e+00	3.000000e+00	2.042161e-03	0.000000e+00	4.955937e-04
3.000000e+00	3.400000e+00	6.164495e-04	0.000000e+00	1.907215e-04
3.400000e+00	3.800000e+00	1.322076e-04	0.000000e+00	6.927773e-05
