# BEGIN PLOT
RaiotPlotYMin=0.0
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/log10_d_01
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_d_01
#RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Scale=1000.0
XLabel=$\sqrt{d_{01}}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma / \sqrt{d_{01}}$ (fb/GeV)
RaiotPlotYMax=2.0
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_TIGHT/log10_d_01
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/log10_d_01
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_d_01
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_d_01
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.361292e-01	1.165167e-02	9.414212e-04	0.000000e+00
2.361291e-01	2.722583e-01	1.400454e-02	3.898177e-04	1.914656e-04
2.722583e-01	3.083875e-01	1.761781e-02	2.410445e-03	0.000000e+00
3.083874e-01	3.445165e-01	2.108513e-02	3.334027e-03	0.000000e+00
3.445165e-01	3.806457e-01	2.258333e-02	2.142090e-03	0.000000e+00
3.806457e-01	4.167748e-01	2.482178e-02	2.087539e-03	0.000000e+00
4.167748e-01	4.529039e-01	2.817095e-02	1.522382e-03	0.000000e+00
4.529039e-01	4.890331e-01	3.215427e-02	4.146258e-03	0.000000e+00
4.890331e-01	5.251621e-01	3.576264e-02	3.860268e-03	0.000000e+00
5.251623e-01	5.612913e-01	3.942910e-02	3.946514e-03	0.000000e+00
5.612913e-01	5.974205e-01	4.230827e-02	3.192044e-03	0.000000e+00
5.974204e-01	6.335495e-01	4.700994e-02	4.826054e-03	1.787756e-04
6.335497e-01	6.696787e-01	4.870146e-02	0.000000e+00	4.767985e-03
6.696787e-01	7.058079e-01	5.313937e-02	0.000000e+00	2.205889e-02
7.058080e-01	7.419370e-01	5.689259e-02	4.146353e-03	0.000000e+00
7.419370e-01	7.780660e-01	5.860810e-02	3.062545e-03	2.509750e-03
7.780661e-01	8.141953e-01	5.904105e-02	2.566567e-03	3.825908e-03
8.141954e-01	8.503245e-01	6.227124e-02	4.950746e-03	3.548109e-03
8.503244e-01	8.864534e-01	6.105173e-02	4.487740e-03	4.763556e-03
8.864535e-01	9.225827e-01	6.112460e-02	5.986930e-03	4.668578e-03
9.225828e-01	9.587118e-01	6.308425e-02	1.056946e-02	9.009081e-04
9.587118e-01	9.948408e-01	5.454562e-02	3.408444e-03	8.349945e-03
9.948404e-01	1.030970e+00	5.889103e-02	1.060372e-02	5.308242e-03
1.030970e+00	1.067098e+00	5.094965e-02	6.439204e-03	6.115530e-03
1.067100e+00	1.103228e+00	4.721177e-02	6.964737e-03	6.884746e-03
1.103229e+00	1.139358e+00	4.197440e-02	4.546625e-03	7.666639e-03
1.139357e+00	1.175487e+00	3.911652e-02	5.369942e-03	6.428868e-03
1.175487e+00	1.211615e+00	3.547953e-02	6.176008e-03	6.761244e-03
1.211617e+00	1.247745e+00	3.146101e-02	9.815661e-04	6.203908e-03
1.247746e+00	1.283875e+00	2.819585e-02	3.827883e-03	5.442442e-03
1.283874e+00	1.320002e+00	2.463100e-02	2.315428e-03	5.093958e-03
1.320002e+00	1.356131e+00	2.274115e-02	3.356420e-03	3.105644e-03
1.356132e+00	1.392261e+00	1.868134e-02	2.569603e-03	4.539198e-03
1.392261e+00	1.428391e+00	1.671632e-02	2.860841e-03	3.865768e-03
1.428391e+00	1.464519e+00	1.391271e-02	2.099236e-03	4.174497e-03
1.464519e+00	1.500648e+00	1.242361e-02	1.979526e-03	2.864688e-03
1.500649e+00	1.536778e+00	1.057049e-02	1.169006e-03	2.513651e-03
1.536778e+00	1.572906e+00	1.002708e-02	2.501769e-03	1.299020e-03
1.572906e+00	1.609035e+00	7.967450e-03	1.140870e-03	1.975416e-03
1.609036e+00	1.645165e+00	6.457273e-03	6.628692e-04	2.084658e-03
1.645165e+00	1.681293e+00	5.944026e-03	1.111816e-03	1.046625e-03
1.681294e+00	1.717424e+00	4.837794e-03	5.811195e-03	1.511630e-03
1.717423e+00	1.753552e+00	4.153827e-03	4.533173e-04	9.519167e-04
1.753553e+00	1.789682e+00	3.226635e-03	1.709928e-04	1.337305e-03
1.789682e+00	1.825811e+00	3.032564e-03	2.696676e-04	8.962938e-04
1.825812e+00	1.861940e+00	2.667236e-03	1.646873e-03	5.050187e-04
1.861940e+00	1.898069e+00	2.235900e-03	4.741355e-04	6.587882e-04
1.898069e+00	1.934198e+00	1.838571e-03	2.976446e-04	4.035467e-04
1.934198e+00	1.970328e+00	1.589518e-03	2.239015e-04	3.994251e-04
1.970329e+00	2.006458e+00	1.317423e-03	2.038880e-04	4.028022e-04
2.006458e+00	2.042587e+00	1.166796e-03	2.006743e-04	2.608807e-04
2.042585e+00	2.078714e+00	9.817606e-04	2.215813e-04	2.379645e-04
2.078715e+00	2.114844e+00	6.592352e-04	5.183288e-05	3.029566e-04
2.114845e+00	2.150974e+00	7.064353e-04	9.537352e-05	2.959310e-04
2.150972e+00	2.187101e+00	6.679022e-04	1.597454e-04	7.274212e-05
2.187102e+00	2.223231e+00	5.435935e-04	1.933649e-04	8.750505e-05
2.223231e+00	2.259361e+00	4.277639e-04	7.305120e-05	9.104678e-05
